                                                                              Step 
variable                                                                         0     1     2 

SIGNALS                                                                      
Air_In_Line                                                                  false false false 
Air_In_Line0                                                                 false false false 
Air_In_Line1                                                                 false  true false 
Air_In_Line2                                                                  true  true  true 
Air_In_Line3                                                                  true  true  true 
Air_In_Line4                                                                  true  true  true 
Air_In_Line5                                                                 false false false 
Air_In_Line6                                                                 false false false 
Air_In_Line7                                                                  true  true  true 
Air_In_Line8                                                                  true  true  true 
Air_In_Line9                                                                 false false false 
Air_In_Line10                                                                false false false 
Air_In_Line11                                                                 true  true  true 
Air_In_Line12                                                                 true  true  true 
Air_In_Line13                                                                false false false 
Air_In_Line14                                                                 true  true  true 
Air_In_Line15                                                                false false false 
Air_In_Line16                                                                 true  true  true 
Air_In_Line17                                                                false false false 
Air_In_Line18                                                                 true  true  true 
Air_In_Line19                                                                 true  true  true 
Air_In_Line20                                                                 true  true  true 
Air_In_Line21                                                                false false false 
Air_In_Line22                                                                false false false 
Air_In_Line23                                                                false false false 
Air_In_Line24                                                                 true  true  true 
Air_In_Line25                                                                 true  true  true 
Air_In_Line26                                                                 true  true  true 
Air_In_Line27                                                                 true false false 
Air_In_Line28                                                                 true  true  true 
Air_In_Line29                                                                 true  true  true 
Air_In_Line30                                                                 true  true  true 
Air_In_Line31                                                                false false  true 
Air_Pressure                                                                 false false false 
Air_Pressure0                                                                 true  true  true 
Air_Pressure1                                                                false false false 
Air_Pressure2                                                                 true  true  true 
Air_Pressure3                                                                 true  true  true 
Air_Pressure4                                                                 true  true  true 
Air_Pressure5                                                                false false false 
Air_Pressure6                                                                false false false 
Air_Pressure7                                                                false false false 
Air_Pressure8                                                                 true  true  true 
Air_Pressure9                                                                false false false 
Air_Pressure10                                                                true  true  true 
Air_Pressure11                                                               false false false 
Air_Pressure12                                                               false false false 
Air_Pressure13                                                               false false false 
Air_Pressure14                                                               false false false 
Air_Pressure15                                                               false false false 
Air_Pressure16                                                                true  true  true 
Air_Pressure17                                                                true  true  true 
Air_Pressure18                                                               false false false 
Air_Pressure19                                                               false false false 
Air_Pressure20                                                                true  true  true 
Air_Pressure21                                                               false false false 
Air_Pressure22                                                               false false false 
Air_Pressure23                                                                true  true  true 
Air_Pressure24                                                                true  true  true 
Air_Pressure25                                                               false false false 
Air_Pressure26                                                                true  true  true 
Air_Pressure27                                                                true false false 
Air_Pressure28                                                               false false false 
Air_Pressure29                                                                true  true  true 
Air_Pressure30                                                                true  true  true 
Air_Pressure31                                                                true false false 
Audio_Enable_Duration                                                            0     0     0 
Audio_Enable_Duration0                                                           0     0     0 
Audio_Enable_Duration1                                                           0     0     0 
Audio_Enable_Duration2                                                           0     0     0 
Audio_Enable_Duration3                                                           0     0     0 
Audio_Enable_Duration4                                                           0     0     0 
Audio_Enable_Duration5                                                           0     0     0 
Audio_Enable_Duration6                                                           0     0     0 
Audio_Enable_Duration7                                                           0     0     0 
Audio_Enable_Duration8                                                           0     0     0 
Audio_Enable_Duration9                                                           0     0     0 
Audio_Enable_Duration10                                                          0     0     0 
Audio_Enable_Duration11                                                          0     0     0 
Audio_Enable_Duration12                                                          0     0     0 
Audio_Enable_Duration13                                                          0     0     0 
Audio_Enable_Duration14                                                          0     0     0 
Audio_Enable_Duration15                                                          0     0     0 
Audio_Enable_Duration16                                                          0     0     0 
Audio_Enable_Duration17                                                          0     0     0 
Audio_Enable_Duration18                                                          0     0     0 
Audio_Enable_Duration19                                                          0     0     0 
Audio_Enable_Duration20                                                          0     0     0 
Audio_Enable_Duration21                                                          0     0     0 
Audio_Enable_Duration22                                                          0     0     0 
Audio_Enable_Duration23                                                          0     0     0 
Audio_Enable_Duration24                                                          0     0     0 
Audio_Enable_Duration25                                                          0     0     0 
Audio_Enable_Duration26                                                          0     0     0 
Audio_Enable_Duration27                                                          0     0     0 
Audio_Enable_Duration28                                                          0     0     0 
Audio_Enable_Duration29                                                          0     0     0 
Audio_Enable_Duration30                                                          0     0     0 
Audio_Enable_Duration31                                                          0     0     0 
Audio_Level                                                                      0     0     0 
Audio_Level0                                                                     1     1     1 
Audio_Level1                                                                     2     3     0 
Audio_Level2                                                                     0     0     0 
Audio_Level3                                                                     0     0     0 
Audio_Level4                                                                     1     1     1 
Audio_Level5                                                                     1     1     1 
Audio_Level6                                                                     0     0     0 
Audio_Level7                                                                     1     1     1 
Audio_Level8                                                                     0     0     0 
Audio_Level9                                                                     0     0     0 
Audio_Level10                                                                    0     0     0 
Audio_Level11                                                                    1     1     1 
Audio_Level12                                                                    0     0     0 
Audio_Level13                                                                    1     1     1 
Audio_Level14                                                                    0     0     0 
Audio_Level15                                                                    0     0     0 
Audio_Level16                                                                    0     0     0 
Audio_Level17                                                                    1     1     1 
Audio_Level18                                                                    1     1     1 
Audio_Level19                                                                  107   107   107 
Audio_Level20                                                                    1     1     1 
Audio_Level21                                                                    1     2     2 
Audio_Level22                                                                    0     0     0 
Audio_Level23                                                                    0     0     0 
Audio_Level24                                                                  108   108   108 
Audio_Level25                                                                  109   109   109 
Audio_Level26                                                                    0     0     0 
Audio_Level27                                                                    2     1     1 
Audio_Level28                                                                    0     0     0 
Audio_Level29                                                                  110   110   110 
Audio_Level30                                                                    0     0     0 
Audio_Level31                                                                    1     1     1 
Battery_Depleted                                                             false false false 
Battery_Depleted0                                                             true  true  true 
