                                                                              Step 
variable                                                                         0     1     2 

SIGNALS                                                                      
Air_In_Line                                                                  false false false 
Air_In_Line0                                                                 false false false 
Air_In_Line1                                                                 false false false 
Air_In_Line2                                                                 false false false 
Air_In_Line3                                                                  true  true  true 
Air_In_Line4                                                                 false  true  true 
Air_In_Line5                                                                  true  true  true 
Air_In_Line6                                                                 false false false 
Air_In_Line7                                                                 false false false 
Air_In_Line8                                                                  true  true  true 
Air_In_Line9                                                                  true  true  true 
Air_In_Line10                                                                 true  true  true 
Air_In_Line11                                                                 true  true  true 
Air_In_Line12                                                                 true  true  true 
Air_In_Line13                                                                 true  true  true 
Air_In_Line14                                                                 true  true  true 
Air_In_Line15                                                                 true  true  true 
Air_In_Line16                                                                 true  true  true 
Air_In_Line17                                                                 true  true  true 
Air_In_Line18                                                                 true  true  true 
Air_In_Line19                                                                false false false 
Air_In_Line20                                                                false false false 
Air_In_Line21                                                                 true  true  true 
Air_In_Line22                                                                 true  true  true 
Air_In_Line23                                                                 true  true  true 
Air_In_Line24                                                                 true  true  true 
Air_In_Line25                                                                 true  true  true 
Air_In_Line26                                                                 true  true  true 
Air_In_Line27                                                                 true  true  true 
Air_In_Line28                                                                false false false 
Air_In_Line29                                                                 true  true  true 
Air_In_Line30                                                                 true  true  true 
Air_In_Line31                                                                 true false false 
Air_In_Line32                                                                 true  true  true 
Air_In_Line33                                                                 true  true  true 
Air_In_Line34                                                                false false false 
Air_In_Line35                                                                false false false 
Air_In_Line36                                                                false false false 
Air_Pressure                                                                 false false false 
Air_Pressure0                                                                false false false 
Air_Pressure1                                                                 true  true  true 
Air_Pressure2                                                                false false false 
Air_Pressure3                                                                 true  true  true 
Air_Pressure4                                                                 true false false 
Air_Pressure5                                                                 true  true  true 
Air_Pressure6                                                                 true false false 
Air_Pressure7                                                                false false false 
Air_Pressure8                                                                 true  true  true 
Air_Pressure9                                                                false false false 
Air_Pressure10                                                                true  true  true 
Air_Pressure11                                                                true  true  true 
Air_Pressure12                                                               false false false 
Air_Pressure13                                                               false false false 
Air_Pressure14                                                                true false false 
Air_Pressure15                                                                true  true  true 
Air_Pressure16                                                                true  true  true 
Air_Pressure17                                                                true  true  true 
Air_Pressure18                                                                true  true  true 
Air_Pressure19                                                               false false false 
Air_Pressure20                                                               false false false 
Air_Pressure21                                                                true  true  true 
Air_Pressure22                                                                true  true  true 
Air_Pressure23                                                               false false false 
Air_Pressure24                                                                true  true  true 
Air_Pressure25                                                                true  true  true 
Air_Pressure26                                                                true  true  true 
Air_Pressure27                                                                true  true  true 
Air_Pressure28                                                                true  true  true 
Air_Pressure29                                                                true  true  true 
Air_Pressure30                                                               false false false 
Air_Pressure31                                                               false false false 
Air_Pressure32                                                                true  true  true 
Air_Pressure33                                                                true  true  true 
Air_Pressure34                                                                true  true  true 
Air_Pressure35                                                               false false false 
Air_Pressure36                                                                true  true  true 
Audio_Enable_Duration                                                            0     0     0 
Audio_Enable_Duration0                                                           0     0     0 
Audio_Enable_Duration1                                                           0     0     0 
Audio_Enable_Duration2                                                           0     0     0 
Audio_Enable_Duration3                                                           0     0     0 
Audio_Enable_Duration4                                                           0     0     0 
Audio_Enable_Duration5                                                           0     0     0 
Audio_Enable_Duration6                                                           0     0     0 
Audio_Enable_Duration7                                                           0     0     0 
Audio_Enable_Duration8                                                           0     0     0 
Audio_Enable_Duration9                                                           0     0     0 
Audio_Enable_Duration10                                                          0     0     0 
Audio_Enable_Duration11                                                          0     0     0 
Audio_Enable_Duration12                                                          0     0     0 
Audio_Enable_Duration13                                                          0     0     0 
Audio_Enable_Duration14                                                          0     0     0 
Audio_Enable_Duration15                                                          0     0     0 
Audio_Enable_Duration16                                                          0     0     0 
Audio_Enable_Duration17                                                          0     0     0 
Audio_Enable_Duration18                                                          0     0     0 
Audio_Enable_Duration19                                                          0     0     0 
Audio_Enable_Duration20                                                          0     0     0 
Audio_Enable_Duration21                                                          0     0     0 
Audio_Enable_Duration22                                                          0     0     0 
Audio_Enable_Duration23                                                          0     0     0 
Audio_Enable_Duration24                                                          0     0     0 
Audio_Enable_Duration25                                                          0     0     0 
Audio_Enable_Duration26                                                          0     0     0 
Audio_Enable_Duration27                                                          0     0     0 
Audio_Enable_Duration28                                                          0     0     0 
Audio_Enable_Duration29                                                          0     0     0 
Audio_Enable_Duration30                                                          0     0     0 
Audio_Enable_Duration31                                                          0     0     0 
Audio_Enable_Duration32                                                          0     0     0 
Audio_Enable_Duration33                                                          0     0     0 
Audio_Enable_Duration34                                                          0     0     0 
Audio_Enable_Duration35                                                          0     0     0 
Audio_Enable_Duration36                                                          0     0     0 
Audio_Level                                                                      0     0     0 
Audio_Level0                                                                     0     0     0 
Audio_Level1                                                                     0     0     0 
Audio_Level2                                                                     0     0     0 
Audio_Level3                                                                     0     0     0 
Audio_Level4                                                                     1     3     3 
Audio_Level5                                                                     0     0     0 
Audio_Level6                                                                     1     4     4 
Audio_Level7                                                                     1     1     1 
Audio_Level8                                                                     0     0     0 
Audio_Level9                                                                     0     0     0 
Audio_Level10                                                                    1     1     1 
Audio_Level11                                                                    0     0     0 
Audio_Level12                                                                    1     1     1 
Audio_Level13                                                                    1     1     1 
Audio_Level14                                                                    1     1     1 
Audio_Level15                                                                    1     1     1 
Audio_Level16                                                                    1     1     1 
