                                                                                Step 
variable                                                                           0     1     2 

SIGNALS                                                                        
Air_In_Line                                                                    false false false 
Air_In_Line0                                                                   false false false 
Air_In_Line1                                                                    true  true  true 
Air_In_Line2                                                                   false false false 
Air_In_Line3                                                                    true  true  true 
Air_In_Line4                                                                    true  true  true 
Air_In_Line5                                                                   false  true false 
Air_In_Line6                                                                    true false  true 
Air_In_Line7                                                                   false false false 
Air_In_Line8                                                                    true  true  true 
Air_In_Line9                                                                    true  true  true 
Air_In_Line10                                                                   true  true  true 
Air_In_Line11                                                                   true  true  true 
Air_In_Line12                                                                  false false false 
Air_In_Line13                                                                   true  true  true 
Air_In_Line14                                                                  false false false 
Air_In_Line15                                                                  false false false 
Air_In_Line16                                                                   true  true  true 
Air_In_Line17                                                                   true  true  true 
Air_In_Line18                                                                   true  true  true 
Air_In_Line19                                                                   true  true  true 
Air_In_Line20                                                                   true  true  true 
Air_In_Line21                                                                  false false false 
Air_In_Line22                                                                   true  true  true 
Air_In_Line23                                                                   true  true  true 
Air_In_Line24                                                                   true false false 
Air_In_Line25                                                                  false false false 
Air_In_Line26                                                                  false false false 
Air_In_Line27                                                                   true  true  true 
Air_In_Line28                                                                   true false false 
Air_In_Line29                                                                  false false false 
Air_In_Line30                                                                   true  true  true 
Air_In_Line31                                                                  false false false 
Air_In_Line32                                                                   true false false 
Air_In_Line33                                                                  false false false 
Air_In_Line34                                                                  false false false 
Air_In_Line35                                                                   true  true  true 
Air_In_Line36                                                                   true  true  true 
Air_In_Line37                                                                   true  true false 
Air_In_Line38                                                                  false false false 
Air_In_Line39                                                                   true false false 
Air_In_Line40                                                                  false false false 
Air_In_Line41                                                                   true  true  true 
Air_In_Line42                                                                  false false false 
Air_In_Line43                                                                   true  true  true 
Air_In_Line44                                                                  false  true  true 
Air_In_Line45                                                                   true false false 
Air_In_Line46                                                                  false false  true 
Air_In_Line47                                                                   true  true  true 
Air_In_Line48                                                                  false false false 
Air_In_Line49                                                                  false false false 
Air_In_Line50                                                                   true false false 
Air_In_Line51                                                                   true  true  true 
Air_In_Line52                                                                   true  true  true 
Air_In_Line53                                                                  false  true  true 
Air_In_Line54                                                                  false  true false 
Air_In_Line55                                                                   true false false 
Air_In_Line56                                                                  false false false 
Air_In_Line57                                                                   true  true  true 
Air_In_Line58                                                                   true false false 
Air_In_Line59                                                                  false false false 
Air_In_Line60                                                                  false false false 
Air_In_Line61                                                                   true  true  true 
Air_In_Line62                                                                   true  true  true 
Air_Pressure                                                                   false false false 
Air_Pressure0                                                                   true  true  true 
Air_Pressure1                                                                   true  true  true 
Air_Pressure2                                                                   true  true  true 
Air_Pressure3                                                                   true  true  true 
Air_Pressure4                                                                   true  true  true 
Air_Pressure5                                                                  false  true false 
Air_Pressure6                                                                   true false  true 
Air_Pressure7                                                                  false false false 
Air_Pressure8                                                                   true  true  true 
Air_Pressure9                                                                   true  true  true 
Air_Pressure10                                                                  true  true  true 
Air_Pressure11                                                                 false false false 
Air_Pressure12                                                                  true  true  true 
Air_Pressure13                                                                 false false false 
Air_Pressure14                                                                  true  true  true 
Air_Pressure15                                                                 false false false 
Air_Pressure16                                                                  true  true  true 
Air_Pressure17                                                                  true  true  true 
Air_Pressure18                                                                 false false false 
Air_Pressure19                                                                  true  true  true 
Air_Pressure20                                                                  true  true  true 
Air_Pressure21                                                                  true  true  true 
Air_Pressure22                                                                  true  true  true 
Air_Pressure23                                                                  true  true  true 
Air_Pressure24                                                                  true false false 
Air_Pressure25                                                                 false  true  true 
Air_Pressure26                                                                  true  true  true 
Air_Pressure27                                                                  true  true  true 
Air_Pressure28                                                                 false false false 
Air_Pressure29                                                                  true  true  true 
Air_Pressure30                                                                  true  true false 
Air_Pressure31                                                                 false false false 
Air_Pressure32                                                                  true  true false 
Air_Pressure33                                                                 false false false 
Air_Pressure34                                                                  true  true  true 
Air_Pressure35                                                                  true  true  true 
Air_Pressure36                                                                  true  true  true 
Air_Pressure37                                                                 false  true false 
Air_Pressure38                                                                 false false false 
Air_Pressure39                                                                  true false false 
Air_Pressure40                                                                  true  true  true 
Air_Pressure41                                                                  true  true  true 
Air_Pressure42                                                                 false false false 
Air_Pressure43                                                                  true  true  true 
Air_Pressure44                                                                 false false false 
Air_Pressure45                                                                 false false false 
Air_Pressure46                                                                 false  true false 
Air_Pressure47                                                                 false false false 
Air_Pressure48                                                                  true false false 
Air_Pressure49                                                                  true  true  true 
Air_Pressure50                                                                  true  true false 
Air_Pressure51                                                                  true  true  true 
Air_Pressure52                                                                 false false false 
Air_Pressure53                                                                  true false false 
Air_Pressure54                                                                 false false  true 
Air_Pressure55                                                                  true false false 
Air_Pressure56                                                                 false  true  true 
Air_Pressure57                                                                  true  true  true 
Air_Pressure58                                                                  true false false 
Air_Pressure59                                                                 false false false 
Air_Pressure60                                                                 false false false 
Air_Pressure61                                                                  true  true  true 
Air_Pressure62                                                                 false false false 
Audio_Enable_Duration                                                              0     0     0 
Audio_Enable_Duration0                                                             0     0     0 
Audio_Enable_Duration1                                                             0     0     0 
Audio_Enable_Duration2                                                             0     0     0 
Audio_Enable_Duration3                                                             0     0     0 
Audio_Enable_Duration4                                                             0     0     0 
Audio_Enable_Duration5                                                             0     0     0 
Audio_Enable_Duration6                                                             0     0     0 
Audio_Enable_Duration7                                                             0     0     0 
