                                                                                Step 
variable                                                                           0     1     2 

SIGNALS                                                                        
Air_In_Line                                                                    false false false 
Air_In_Line0                                                                   false false false 
Air_In_Line1                                                                   false false false 
Air_In_Line2                                                                    true  true  true 
Air_In_Line3                                                                    true  true  true 
Air_In_Line4                                                                    true  true  true 
Air_In_Line5                                                                    true false false 
Air_In_Line6                                                                    true false false 
Air_In_Line7                                                                    true false false 
Air_In_Line8                                                                   false false false 
Air_In_Line9                                                                   false false false 
Air_In_Line10                                                                   true false false 
Air_In_Line11                                                                   true  true  true 
Air_In_Line12                                                                   true  true  true 
Air_In_Line13                                                                   true  true  true 
Air_In_Line14                                                                  false false false 
Air_In_Line15                                                                   true false false 
Air_In_Line16                                                                  false  true false 
Air_In_Line17                                                                   true  true false 
Air_In_Line18                                                                   true  true  true 
Air_In_Line19                                                                   true false false 
Air_In_Line20                                                                  false false false 
Air_In_Line21                                                                  false false false 
Air_In_Line22                                                                   true  true  true 
Air_In_Line23                                                                   true  true  true 
Air_In_Line24                                                                   true  true  true 
Air_In_Line25                                                                   true  true  true 
Air_In_Line26                                                                  false false false 
Air_In_Line27                                                                   true  true  true 
Air_In_Line28                                                                   true  true  true 
Air_In_Line29                                                                  false false false 
Air_In_Line30                                                                   true  true  true 
Air_In_Line31                                                                   true  true  true 
Air_In_Line32                                                                   true  true  true 
Air_In_Line33                                                                  false false false 
Air_In_Line34                                                                   true  true  true 
Air_In_Line35                                                                  false false false 
Air_In_Line36                                                                   true  true  true 
Air_In_Line37                                                                   true  true  true 
Air_In_Line38                                                                  false false false 
Air_In_Line39                                                                  false false false 
Air_In_Line40                                                                  false false false 
Air_In_Line41                                                                  false false false 
Air_In_Line42                                                                   true  true  true 
Air_In_Line43                                                                   true  true  true 
Air_In_Line44                                                                   true  true  true 
Air_In_Line45                                                                   true  true  true 
Air_In_Line46                                                                   true  true  true 
Air_In_Line47                                                                   true  true  true 
Air_In_Line48                                                                   true  true  true 
Air_In_Line49                                                                   true  true  true 
Air_In_Line50                                                                   true  true  true 
Air_In_Line51                                                                   true  true  true 
Air_In_Line52                                                                  false false false 
Air_In_Line53                                                                  false false false 
Air_In_Line54                                                                   true  true  true 
Air_In_Line55                                                                  false false false 
Air_In_Line56                                                                  false false false 
Air_In_Line57                                                                   true  true  true 
Air_Pressure                                                                   false false false 
Air_Pressure0                                                                  false false false 
Air_Pressure1                                                                   true  true  true 
Air_Pressure2                                                                   true  true  true 
Air_Pressure3                                                                   true  true  true 
Air_Pressure4                                                                   true  true  true 
Air_Pressure5                                                                   true false false 
Air_Pressure6                                                                   true false false 
Air_Pressure7                                                                  false false false 
Air_Pressure8                                                                   true  true  true 
Air_Pressure9                                                                   true  true  true 
Air_Pressure10                                                                 false false false 
Air_Pressure11                                                                  true  true  true 
Air_Pressure12                                                                  true  true  true 
Air_Pressure13                                                                 false false false 
Air_Pressure14                                                                 false false false 
Air_Pressure15                                                                 false false  true 
Air_Pressure16                                                                  true  true false 
Air_Pressure17                                                                 false false false 
Air_Pressure18                                                                  true  true  true 
Air_Pressure19                                                                 false  true false 
Air_Pressure20                                                                  true false false 
Air_Pressure21                                                                 false false false 
Air_Pressure22                                                                  true  true  true 
Air_Pressure23                                                                  true  true  true 
Air_Pressure24                                                                 false false false 
Air_Pressure25                                                                  true  true  true 
Air_Pressure26                                                                  true  true  true 
Air_Pressure27                                                                 false false false 
Air_Pressure28                                                                  true  true  true 
Air_Pressure29                                                                  true  true  true 
Air_Pressure30                                                                  true  true  true 
Air_Pressure31                                                                  true  true  true 
Air_Pressure32                                                                  true  true  true 
Air_Pressure33                                                                  true  true  true 
Air_Pressure34                                                                  true  true  true 
Air_Pressure35                                                                  true  true  true 
Air_Pressure36                                                                  true  true  true 
Air_Pressure37                                                                  true  true  true 
Air_Pressure38                                                                  true  true  true 
Air_Pressure39                                                                  true  true  true 
Air_Pressure40                                                                 false false false 
Air_Pressure41                                                                  true  true  true 
Air_Pressure42                                                                  true  true  true 
Air_Pressure43                                                                 false false false 
Air_Pressure44                                                                  true  true  true 
Air_Pressure45                                                                  true  true  true 
Air_Pressure46                                                                  true  true  true 
Air_Pressure47                                                                  true  true  true 
Air_Pressure48                                                                  true  true  true 
Air_Pressure49                                                                 false false false 
Air_Pressure50                                                                  true  true  true 
Air_Pressure51                                                                  true  true  true 
Air_Pressure52                                                                  true  true  true 
Air_Pressure53                                                                  true  true  true 
Air_Pressure54                                                                 false false false 
Air_Pressure55                                                                  true  true  true 
Air_Pressure56                                                                  true  true  true 
Air_Pressure57                                                                  true  true  true 
Audio_Enable_Duration                                                              0     0     0 
Audio_Enable_Duration0                                                             0     0     0 
Audio_Enable_Duration1                                                             0     0     0 
Audio_Enable_Duration2                                                             0     0     0 
Audio_Enable_Duration3                                                             0     0     0 
Audio_Enable_Duration4                                                             0     0     0 
Audio_Enable_Duration5                                                             0     0     0 
Audio_Enable_Duration6                                                             0     0     0 
Audio_Enable_Duration7                                                             0     0     0 
Audio_Enable_Duration8                                                             0     0     0 
Audio_Enable_Duration9                                                             0     0     0 
Audio_Enable_Duration10                                                            0     0     0 
Audio_Enable_Duration11                                                            0     0     0 
Audio_Enable_Duration12                                                            0     0     0 
Audio_Enable_Duration13                                                            0     0     0 
Audio_Enable_Duration14                                                            0     0     0 
