                                                                       Step 
variable                                                                  0     1     2 

SIGNALS                                                               
Air_In_Line0                                                          false false false 
Air_In_Line1                                                          false false false 
Air_In_Line2                                                          false  true  true 
Air_In_Line3                                                          false false false 
Air_In_Line4                                                          false false false 
Air_In_Line5                                                           true  true  true 
Air_Pressure0                                                          true  true  true 
Air_Pressure1                                                         false false false 
Air_Pressure2                                                         false  true  true 
Air_Pressure3                                                         false false false 
Air_Pressure4                                                         false false false 
Air_Pressure5                                                          true  true  true 
Audio_Enable_Duration0                                                    0     0     0 
Audio_Enable_Duration1                                                    0     0     0 
Audio_Enable_Duration2                                                    0     0     0 
Audio_Enable_Duration3                                                    0     0     0 
Audio_Enable_Duration4                                                    0     0     0 
Audio_Enable_Duration5                                                    0     0     0 
Audio_Level0                                                              0     0     0 
Audio_Level1                                                              1     1     1 
Audio_Level2                                                              2     1     1 
Audio_Level3                                                              2     1     1 
Audio_Level4                                                             53    54     0 
Audio_Level5                                                              0     0     0 
Battery_Depleted0                                                      true  true  true 
Battery_Depleted1                                                      true  true  true 
Battery_Depleted2                                                     false false false 
Battery_Depleted3                                                     false false false 
Battery_Depleted4                                                     false false false 
Battery_Depleted5                                                      true  true  true 
Battery_Low0                                                          false false false 
Battery_Low1                                                          false false false 
Battery_Low2                                                          false false false 
Battery_Low3                                                          false false false 
Battery_Low4                                                          false false false 
Battery_Low5                                                           true  true  true 
Battery_Unable_To_Charge0                                             false false false 
Battery_Unable_To_Charge1                                             false false false 
Battery_Unable_To_Charge2                                             false false false 
Battery_Unable_To_Charge3                                             false false false 
Battery_Unable_To_Charge4                                             false false false 
Battery_Unable_To_Charge5                                              true  true  true 
CPU_In_Error0                                                          true  true  true 
CPU_In_Error1                                                          true  true  true 
CPU_In_Error2                                                         false false false 
CPU_In_Error3                                                         false false false 
CPU_In_Error4                                                         false false false 
CPU_In_Error5                                                          true  true  true 
Check_spec~0.Air_In_Line                                              false false false 
Check_spec~0.Air_Pressure                                              true  true  true 
Check_spec~0.Audio_Enable_Duration                                        0     0     0 
Check_spec~0.Audio_Level                                                  0     0     0 
Check_spec~0.Battery_Depleted                                          true  true  true 
Check_spec~0.Battery_Low                                              false false false 
Check_spec~0.Battery_Unable_To_Charge                                 false false false 
Check_spec~0.CPU_In_Error                                              true  true  true 
Check_spec~0.Commanded_Flow_Rate                                          0     0     0 
Check_spec~0.Config_Timer                                                 1     1     1 
Check_spec~0.Config_Warning_Duration                                      0     0     0 
Check_spec~0.Current_System_Mode                                          1     1     1 
Check_spec~0.Disable_Audio                                                3     3     3 
Check_spec~0.Door_Open                                                false false false 
Check_spec~0.Flow_Rate                                                    0     0     0 
Check_spec~0.Flow_Rate_High                                               0     0     0 
Check_spec~0.Flow_Rate_Low                                                1     1     1 
Check_spec~0.Flow_Rate_Not_Stable                                      true  true  true 
Check_spec~0.H_discovery~0.in                                          true  true  true 
Check_spec~0.H_discovery~0.out                                         true  true  true 
Check_spec~0.Humidity                                                 false false false 
Check_spec~0.In_Therapy                                                true  true  true 
Check_spec~0.Infusion_Initiate                                        false false false 
Check_spec~0.Logging_Failed                                           false false false 
Check_spec~0.Low_Reservoir                                                1     1     1 
Check_spec~0.Max_Duration_Over_Infusion                                   0     0     0 
Check_spec~0.Max_Duration_Under_Infusion                                  0     0     0 
Check_spec~0.Max_Idle_Duration                                            1     1     1 
Check_spec~0.Max_Paused_Duration                                          2     2     2 
Check_spec~0.Memory_Corrupted                                          true  true  true 
Check_spec~0.Notification_Cancel                                       true  true  true 
Check_spec~0.Occlusion                                                false false false 
Check_spec~0.Pump_Overheated                                          false false false 
Check_spec~0.Pump_Too_Hot                                              true  true  true 
Check_spec~0.RTC_In_Error                                              true  true  true 
Check_spec~0.Reservoir_Empty                                           true  true  true 
Check_spec~0.Reservoir_Volume                                             0     0     0 
Check_spec~0.Supply_Voltage                                           false false false 
Check_spec~0.System_Monitor_Failed                                    false false false 
Check_spec~0.System_On                                                false false false 
Check_spec~0.T_node~0.Air_In_Line                                     false false false 
Check_spec~0.T_node~0.Air_Pressure                                     true  true  true 
Check_spec~0.T_node~0.Audio_Enable_Duration                               0     0     0 
Check_spec~0.T_node~0.Audio_Level                                         0     0     0 
Check_spec~0.T_node~0.Battery_Depleted                                 true  true  true 
Check_spec~0.T_node~0.Battery_Low                                     false false false 
Check_spec~0.T_node~0.Battery_Unable_To_Charge                        false false false 
Check_spec~0.T_node~0.CPU_In_Error                                     true  true  true 
Check_spec~0.T_node~0.Commanded_Flow_Rate                                 0     0     0 
Check_spec~0.T_node~0.Config_Timer                                        1     1     1 
Check_spec~0.T_node~0.Config_Warning_Duration                             0     0     0 
Check_spec~0.T_node~0.Current_System_Mode                                 1     1     1 
Check_spec~0.T_node~0.Disable_Audio                                       3     3     3 
Check_spec~0.T_node~0.Door_Open                                       false false false 
Check_spec~0.T_node~0.Flow_Rate                                           0     0     0 
Check_spec~0.T_node~0.Flow_Rate_High                                      0     0     0 
Check_spec~0.T_node~0.Flow_Rate_Low                                       1     1     1 
Check_spec~0.T_node~0.Flow_Rate_Not_Stable                             true  true  true 
Check_spec~0.T_node~0.Humidity                                        false false false 
Check_spec~0.T_node~0.In_Therapy                                       true  true  true 
Check_spec~0.T_node~0.Infusion_Initiate                               false false false 
