                                                                                Step 
variable                                                                           0     1     2 

SIGNALS                                                                        
Air_In_Line                                                                    false false false 
Air_In_Line0                                                                   false false false 
Air_In_Line1                                                                    true  true  true 
Air_In_Line2                                                                    true false  true 
Air_In_Line3                                                                    true  true  true 
Air_In_Line4                                                                    true  true  true 
Air_In_Line5                                                                   false false false 
Air_In_Line6                                                                    true  true  true 
Air_In_Line7                                                                   false false false 
Air_In_Line8                                                                    true false  true 
Air_In_Line9                                                                    true false false 
Air_In_Line10                                                                  false false false 
Air_In_Line11                                                                  false false  true 
Air_In_Line12                                                                   true  true false 
Air_In_Line13                                                                   true  true  true 
Air_In_Line14                                                                   true false false 
Air_In_Line15                                                                  false false  true 
Air_In_Line16                                                                  false false false 
Air_In_Line17                                                                   true  true  true 
Air_In_Line18                                                                   true false false 
Air_In_Line19                                                                  false false  true 
Air_In_Line20                                                                   true  true  true 
Air_In_Line21                                                                  false false false 
Air_In_Line22                                                                  false false false 
Air_In_Line23                                                                  false false false 
Air_In_Line24                                                                  false false  true 
Air_In_Line25                                                                  false false false 
Air_In_Line26                                                                  false false false 
Air_In_Line27                                                                  false false false 
Air_In_Line28                                                                  false false false 
Air_In_Line29                                                                  false false false 
Air_In_Line30                                                                   true  true  true 
Air_In_Line31                                                                   true  true  true 
Air_In_Line32                                                                  false false  true 
Air_In_Line33                                                                   true  true  true 
Air_Pressure                                                                   false false false 
Air_Pressure0                                                                   true  true  true 
Air_Pressure1                                                                   true  true  true 
Air_Pressure2                                                                  false false  true 
Air_Pressure3                                                                  false false false 
Air_Pressure4                                                                   true  true  true 
Air_Pressure5                                                                  false false false 
Air_Pressure6                                                                   true  true  true 
Air_Pressure7                                                                  false false false 
Air_Pressure8                                                                  false false false 
Air_Pressure9                                                                   true  true  true 
Air_Pressure10                                                                 false false false 
Air_Pressure11                                                                  true  true false 
Air_Pressure12                                                                 false  true  true 
Air_Pressure13                                                                  true  true  true 
Air_Pressure14                                                                  true false  true 
Air_Pressure15                                                                  true false false 
Air_Pressure16                                                                  true  true  true 
Air_Pressure17                                                                  true  true  true 
Air_Pressure18                                                                 false  true  true 
Air_Pressure19                                                                 false  true false 
Air_Pressure20                                                                  true  true  true 
Air_Pressure21                                                                 false false false 
Air_Pressure22                                                                 false  true  true 
Air_Pressure23                                                                  true  true  true 
Air_Pressure24                                                                  true false  true 
Air_Pressure25                                                                  true  true  true 
Air_Pressure26                                                                  true  true  true 
Air_Pressure27                                                                  true  true  true 
Air_Pressure28                                                                 false false false 
Air_Pressure29                                                                  true  true  true 
Air_Pressure30                                                                  true  true  true 
Air_Pressure31                                                                  true  true  true 
Air_Pressure32                                                                 false false  true 
Air_Pressure33                                                                  true  true  true 
Audio_Enable_Duration                                                              0     0     0 
Audio_Enable_Duration0                                                             0     0     0 
Audio_Enable_Duration1                                                             0     0     0 
Audio_Enable_Duration2                                                             0     0     0 
Audio_Enable_Duration3                                                             0     0     0 
Audio_Enable_Duration4                                                             0     0     0 
Audio_Enable_Duration5                                                             0     0     0 
Audio_Enable_Duration6                                                             0     0     0 
Audio_Enable_Duration7                                                             0     0     0 
Audio_Enable_Duration8                                                             0     1     1 
Audio_Enable_Duration9                                                             0     0     0 
Audio_Enable_Duration10                                                            0     0     0 
Audio_Enable_Duration11                                                            0     0     0 
Audio_Enable_Duration12                                                            0     0     0 
Audio_Enable_Duration13                                                            0     0     0 
Audio_Enable_Duration14                                                            0     0     0 
Audio_Enable_Duration15                                                            0     0     1 
Audio_Enable_Duration16                                                            0     0     0 
Audio_Enable_Duration17                                                            0     0     0 
Audio_Enable_Duration18                                                            0     0     0 
Audio_Enable_Duration19                                                            0     1     1 
Audio_Enable_Duration20                                                            0     0     0 
Audio_Enable_Duration21                                                            0     0     0 
Audio_Enable_Duration22                                                            0     0     0 
Audio_Enable_Duration23                                                            0     0     0 
Audio_Enable_Duration24                                                            0     0     0 
Audio_Enable_Duration25                                                            0     0     0 
Audio_Enable_Duration26                                                            0     0     0 
Audio_Enable_Duration27                                                            0     0     0 
Audio_Enable_Duration28                                                            0     0     0 
Audio_Enable_Duration29                                                            0     0     0 
Audio_Enable_Duration30                                                            0     0     0 
Audio_Enable_Duration31                                                            0     0     0 
Audio_Enable_Duration32                                                            0     0     0 
Audio_Enable_Duration33                                                            0     0     0 
Audio_Level                                                                        0     0     0 
Audio_Level0                                                                       1     1     1 
Audio_Level1                                                                       0     0     0 
Audio_Level2                                                                       0     1     0 
Audio_Level3                                                                       1     1     1 
Audio_Level4                                                                       0     0     0 
Audio_Level5                                                                       3     4     4 
Audio_Level6                                                                       5     5     5 
Audio_Level7                                                                       1     1     1 
Audio_Level8                                                                       1     1     0 
Audio_Level9                                                                       1     2     2 
Audio_Level10                                                                      6     6     6 
Audio_Level11                                                                      1     2     0 
Audio_Level12                                                                      0     1     0 
Audio_Level13                                                                      1     1     1 
Audio_Level14                                                                      1    98     1 
Audio_Level15                                                                      1     1     0 
Audio_Level16                                                                      1     1     1 
Audio_Level17                                                                      0     0     0 
Audio_Level18                                                                      2     1     0 
Audio_Level19                                                                      1     1     0 
Audio_Level20                                                                     99    99    99 
Audio_Level21                                                                      0     0     0 
Audio_Level22                                                                      4     3     3 
Audio_Level23                                                                      1     1     1 
Audio_Level24                                                                      4     3     0 
