                                                                   Step 
variable                                                              0     1     2 

SIGNALS                                                           
Actual_Infusion_Duration                                              0     0     0 
Actual_Infusion_Duration2                                            42    42    42 
Actual_Infusion_Duration3                                            41    41    41 
Actual_Infusion_Duration4                                            41    41    41 
Actual_Infusion_Duration5                                            41    41    41 
Actual_Infusion_Duration6                                            42    42    42 
Actual_Infusion_Duration8                                            42    42    42 
Actual_Infusion_Duration9                                            42    42    42 
Actual_Infusion_Duration10                                           42    42    42 
Actual_Infusion_Duration11                                           41    41    41 
Actual_Infusion_Duration12                                           41    41    41 
Actual_Infusion_Duration13                                           41    41    41 
Actual_Infusion_Duration14                                           42    42    42 
Actual_Infusion_Duration15                                           41    41    41 
Actual_Infusion_Duration17                                           42    42    42 
Actual_Infusion_Duration18                                           41    41    41 
Actual_Infusion_Duration19                                           43    43    43 
Actual_Infusion_Duration20                                           42    42    42 
Actual_Infusion_Duration21                                           44    44    44 
Actual_Infusion_Duration22                                           43    43    43 
Actual_Infusion_Duration23                                           43    43    43 
Actual_Infusion_Duration24                                           43    43    43 
Actual_Infusion_Duration26                                           43    43    43 
Actual_Infusion_Duration27                                           42    42    42 
Actual_Infusion_Duration28                                           43    43    43 
Actual_Infusion_Duration29                                           44    44    44 
Actual_Infusion_Duration30                                           44    44    44 
Actual_Infusion_Duration31                                           42    42    42 
Actual_Infusion_Duration32                                           43    43    43 
Actual_Infusion_Duration33                                           44    44    44 
Actual_Infusion_Duration34                                           42    42    42 
Actual_Infusion_Duration35                                           43    43    43 
Actual_Infusion_Duration36                                           43    43    43 
Actual_Infusion_Duration37                                           44    44    44 
Actual_Infusion_Duration39                                           42    42    42 
Actual_Infusion_Duration40                                           42    42    42 
Actual_Infusion_Duration41                                           42    42    42 
Actual_Infusion_Duration42                                           42    42    42 
Actual_Infusion_Duration43                                           42    42    42 
Actual_Infusion_Duration44                                           44    44    44 
Actual_Infusion_Duration46                                           44    44    44 
Actual_Infusion_Duration47                                           42    42    42 
Actual_Infusion_Duration48                                           43    43    43 
Check_spec~0.Actual_Infusion_Duration                                 0     0     0 
Check_spec~0.Commanded_Flow_Rate                                      0     0     0 
Check_spec~0.Configured                                               1     1     1 
Check_spec~0.Current_System_Mode                                      1     1     1 
Check_spec~0.Duration_Intermittent_Bolus                              1     1     1 
Check_spec~0.Duration_Patient_Bolus                                   0     0     0 
Check_spec~0.Entered_Reservoir_Volume                                 0     0     0 
Check_spec~0.Flow_Rate_Basal                                          2     2     2 
Check_spec~0.Flow_Rate_Intermittent_Bolus                             0     0     0 
Check_spec~0.Flow_Rate_KVO                                            1     1     1 
Check_spec~0.Flow_Rate_Patient_Bolus                                  1     1     1 
Check_spec~0.H_discovery~0.in                                      true  true  true 
Check_spec~0.H_discovery~0.out                                     true  true  true 
Check_spec~0.Highest_Level_Alarm                                      5     5     5 
Check_spec~0.Infusion_Cancel                                       true  true  true 
Check_spec~0.Infusion_Inhibit                                      true  true  true 
Check_spec~0.Infusion_Initiate                                     true  true  true 
Check_spec~0.Infusion_Total_Duration                                  2     2     2 
Check_spec~0.Interval_Intermittent_Bolus                              1     1     1 
Check_spec~0.Lockout_Period_Patient_Bolus                             2     2     2 
Check_spec~0.Log_Message_ID                                           1     1     1 
Check_spec~0.Max_Number_of_Patient_Bolus                              1     1     1 
Check_spec~0.New_Infusion                                         false false false 
Check_spec~0.Patient_Bolus_Request                                 true  true  true 
Check_spec~0.Reservoir_Empty                                       true  true  true 
Check_spec~0.System_On                                             true  true  true 
Check_spec~0.T_node~0.Actual_Infusion_Duration                        0     0     0 
Check_spec~0.T_node~0.Commanded_Flow_Rate                             0     0     0 
Check_spec~0.T_node~0.Configured                                      1     1     1 
Check_spec~0.T_node~0.Current_System_Mode                             1     1     1 
Check_spec~0.T_node~0.Duration_Intermittent_Bolus                     1     1     1 
Check_spec~0.T_node~0.Duration_Patient_Bolus                          0     0     0 
Check_spec~0.T_node~0.Entered_Reservoir_Volume                        0     0     0 
Check_spec~0.T_node~0.Flow_Rate_Basal                                 2     2     2 
Check_spec~0.T_node~0.Flow_Rate_Intermittent_Bolus                    0     0     0 
Check_spec~0.T_node~0.Flow_Rate_KVO                                   1     1     1 
Check_spec~0.T_node~0.Flow_Rate_Patient_Bolus                         1     1     1 
Check_spec~0.T_node~0.Highest_Level_Alarm                             5     5     5 
Check_spec~0.T_node~0.Infusion_Cancel                              true  true  true 
Check_spec~0.T_node~0.Infusion_Inhibit                             true  true  true 
Check_spec~0.T_node~0.Infusion_Initiate                            true  true  true 
Check_spec~0.T_node~0.Infusion_Total_Duration                         2     2     2 
Check_spec~0.T_node~0.Interval_Intermittent_Bolus                     1     1     1 
Check_spec~0.T_node~0.Lockout_Period_Patient_Bolus                    2     2     2 
Check_spec~0.T_node~0.Log_Message_ID                                  1     1     1 
Check_spec~0.T_node~0.Max_Number_of_Patient_Bolus                     1     1     1 
Check_spec~0.T_node~0.New_Infusion                                false false false 
Check_spec~0.T_node~0.Patient_Bolus_Request                        true  true  true 
Check_spec~0.T_node~0.Reservoir_Empty                              true  true  true 
Check_spec~0.T_node~0.System_On                                    true  true  true 
Check_spec~0.T_node~0.VTBI_Total                                      1     1     1 
Check_spec~0.T_node~0.Volume_Infused                                  0     0     0 
Check_spec~0.T_node~0.const_hole_1_1                                  8     8     8 
