gpca,     p1,     Faulty_GPCA_Prop1-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     56.843,     56.244,     20.209,     36.035,     9,     9,     2.245,     4.003,     p1 = ((((not System_On) => (not In_Therapy)) and (System_On and (not System_On))) => (out_Highest_Level_Alarm > 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     45.958,     45.666,     8.666,     37.0,     9,     9,     0.962,     4.111,     p1 = (((In_Therapy and (not In_Therapy)) and ((not In_Therapy) or System_On)) => (out_Highest_Level_Alarm < 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-1-3,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     74.454,     74.022,     10.561,     63.461,     8,     8,     1.32,     7.932,     p1 = ((((not Reservoir_Empty) => (not Reservoir_Empty)) and (System_On and (not System_On))) => (out_Highest_Level_Alarm <> 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-1-3,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     76.973,     76.606,     11.915,     64.691,     8,     8,     1.489,     8.086,     p1 = ((((not Reservoir_Empty) => (not Reservoir_Empty)) and (System_On and (not System_On))) => (out_Highest_Level_Alarm <> 4));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     160.263,     159.909,     13.964,     145.945,     9,     9,     1.551,     16.216,     p1 = ((((not In_Therapy) and (not In_Therapy)) xor (In_Therapy => (not In_Therapy))) => (out_Highest_Level_Alarm > 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-6,     false,    2,    MINIMAL_FORALL_UNKNOWN,     1,     618.77,     618.601,     4.747,     613.854,     5,     6,     0.949,     102.309,     p1 = ((((not In_Therapy) or In_Therapy) => ((not In_Therapy) => (not In_Therapy))) or (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     106.067,     105.746,     12.066,     93.68,     7,     7,     1.723,     13.382,     p1 = ((((not System_On) and (not System_On)) xor ((not System_On) and (not System_On))) => (out_Highest_Level_Alarm < 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1-2,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     48.721,     48.164,     15.697,     32.467,     9,     9,     1.744,     3.607,     p1 = ((((not Air_In_Line) => (not Air_In_Line)) => (In_Therapy and (not In_Therapy))) => (out_Highest_Level_Alarm = 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     100.43,     100.077,     10.881,     89.196,     7,     7,     1.554,     12.742,     p1 = ((((not System_On) and (not System_On)) xor ((not System_On) and (not System_On))) => (out_Highest_Level_Alarm < 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     151.101,     150.755,     12.001,     138.754,     9,     9,     1.333,     15.417,     p1 = ((((not In_Therapy) and (not In_Therapy)) xor (In_Therapy => (not In_Therapy))) => (out_Highest_Level_Alarm > 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     98.105,     97.792,     10.361,     87.431,     7,     7,     1.48,     12.49,     p1 = ((((not System_On) and (not System_On)) xor ((not System_On) and (not System_On))) => (out_Highest_Level_Alarm < 3));,     
