infusion,     p2,     Faulty_Prop2-ROR-1-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.776,     3.722,     1.305,     2.417,     2,     2,     0.652,     1.208,     p1 = (System_On => (Current_System_Mode <> 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.678,     3.628,     1.207,     2.421,     2,     2,     0.603,     1.21,     p1 = (System_On xor (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-LOR-2-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     7.948,     7.851,     2.809,     5.042,     4,     4,     0.702,     1.26,     p1 = ((not System_On) xor (Current_System_Mode >= 1));,     
infusion,     p2,     Faulty_Prop2-LOR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.782,     3.721,     1.204,     2.517,     2,     2,     0.602,     1.258,     p1 = (System_On or (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.982,     3.922,     1.208,     2.714,     2,     2,     0.604,     1.357,     p1 = (System_On or (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.671,     3.621,     1.205,     2.416,     2,     2,     0.602,     1.208,     p1 = (System_On xor (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.67,     3.619,     1.406,     2.213,     2,     2,     0.703,     1.106,     p1 = (System_On => (Current_System_Mode > 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.67,     3.621,     1.204,     2.417,     2,     2,     0.602,     1.208,     p1 = (System_On => (Current_System_Mode <> 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.77,     3.723,     1.205,     2.518,     2,     2,     0.602,     1.259,     p1 = (System_On => (Current_System_Mode > 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.575,     3.519,     1.206,     2.313,     2,     2,     0.603,     1.156,     p1 = (System_On or (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.774,     3.723,     1.204,     2.519,     2,     2,     0.602,     1.259,     p1 = (System_On => (Current_System_Mode <> 0));,     
infusion,     p2,     Faulty_Prop2-LOR-2-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.144,     8.057,     2.913,     5.144,     4,     4,     0.728,     1.286,     p1 = ((not System_On) xor (Current_System_Mode >= 1));,     
infusion,     p2,     Faulty_Prop2-ROR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.567,     3.517,     1.405,     2.112,     2,     2,     0.702,     1.056,     p1 = (System_On => (Current_System_Mode > 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.695,     3.639,     1.325,     2.314,     2,     2,     0.662,     1.157,     p1 = (System_On or (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-LOR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.671,     3.62,     1.204,     2.416,     2,     2,     0.602,     1.208,     p1 = (System_On or (Current_System_Mode = 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.475,     3.43,     1.205,     2.225,     2,     2,     0.602,     1.112,     p1 = (System_On => (Current_System_Mode <> 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.568,     3.518,     1.205,     2.313,     2,     2,     0.602,     1.156,     p1 = (System_On => (Current_System_Mode > 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.67,     3.617,     1.204,     2.413,     2,     2,     0.602,     1.206,     p1 = (System_On => (Current_System_Mode > 0));,     
infusion,     p2,     Faulty_Prop2-ROR-1-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     3.777,     3.718,     1.305,     2.413,     2,     2,     0.652,     1.206,     p1 = (System_On => (Current_System_Mode <> 0));,     
