gpca,     p8,     Faulty_GPCA_Prop8-ROR-3-0,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     607.193,     606.973,     1.532,     605.441,     3,     4,     0.51,     151.36,     p1 = (((System_On and In_Therapy) and false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     87.093,     81.794,     30.58,     51.214,     35,     36,     0.873,     1.422,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-0--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     622.971,     622.224,     6.479,     615.745,     9,     10,     0.719,     61.574,     p1 = true;,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     105.377,     99.35,     37.447,     61.903,     39,     40,     0.96,     1.547,     p1 = ((((Low_Reservoir < 19) and (Reservoir_Volume >= 0)) and ((Low_Reservoir >= 19) and (Low_Reservoir > 18))) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-3-3,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     648.409,     648.135,     2.521,     645.614,     4,     5,     0.63,     129.122,     p1 = (((System_On and In_Therapy) and false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     83.763,     79.226,     28.207,     51.019,     34,     35,     0.829,     1.457,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-0-8,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     630.274,     629.551,     6.49,     623.061,     10,     11,     0.649,     56.641,     p1 = true;,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     83.79,     79.578,     28.025,     51.553,     34,     35,     0.824,     1.472,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     105.386,     99.464,     37.097,     62.367,     39,     40,     0.951,     1.559,     p1 = ((((Low_Reservoir < 19) and (Reservoir_Volume >= 0)) and ((Low_Reservoir >= 19) and (Low_Reservoir > 18))) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-0-8,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     630.588,     629.849,     6.385,     623.464,     10,     11,     0.638,     56.678,     p1 = true;,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     94.49,     89.85,     30.243,     59.607,     35,     36,     0.864,     1.655,     p1 = ((((Low_Reservoir > 0) => (Reservoir_Volume >= 21)) and ((Low_Reservoir < 0) and (Low_Reservoir >= 0))) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     104.173,     99.63,     28.415,     71.215,     34,     35,     0.835,     2.034,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-0--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     622.204,     621.516,     6.383,     615.133,     9,     10,     0.709,     61.513,     p1 = true;,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     347.667,     342.815,     30.137,     312.678,     35,     36,     0.861,     8.685,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     103.97,     99.529,     27.855,     71.674,     34,     35,     0.819,     2.047,     p1 = (false => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     105.456,     99.451,     37.723,     61.728,     39,     40,     0.967,     1.543,     p1 = ((((Low_Reservoir < 19) and (Reservoir_Volume >= 0)) and ((Low_Reservoir >= 19) and (Low_Reservoir > 18))) => (out_Highest_Level_Alarm >= 2));,     
