gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     678.508,     677.709,     6.756,     670.953,     6,     7,     1.126,     95.85,     p1 = (((In_Therapy => In_Therapy) => ((not Air_In_Line) xor (not Air_In_Line))) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     663.928,     663.586,     8.532,     655.054,     6,     7,     1.422,     93.579,     p1 = (((Air_In_Line xor System_On) xor (Air_In_Line xor System_On)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     649.261,     649.045,     5.342,     643.703,     6,     7,     0.89,     91.957,     p1 = (((Air_In_Line xor System_On) xor (Air_In_Line xor System_On)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-2,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     632.377,     632.187,     5.541,     626.646,     6,     7,     0.923,     89.52,     p1 = ((((not Air_In_Line) => In_Therapy) and ((not Air_In_Line) xor (not Air_In_Line))) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     678.762,     678.449,     6.543,     671.906,     5,     6,     1.308,     111.984,     p1 = (((not In_Therapy) => (not In_Therapy)) xor false);,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-3,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     628.183,     627.897,     5.734,     622.163,     6,     7,     0.955,     88.88,     p1 = ((((not Air_In_Line) and Air_In_Line) and (In_Therapy => In_Therapy)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     626.587,     626.347,     4.836,     621.511,     6,     7,     0.806,     88.787,     p1 = ((((not Air_In_Line) => In_Therapy) and ((not Air_In_Line) xor (not Air_In_Line))) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0,     true,    1,    MINIMAL_FORALL_UNKNOWN,     1,     609.51,     609.395,     2.312,     607.083,     3,     4,     0.77,     151.77,     p1 = (((In_Therapy xor In_Therapy) and Air_In_Line) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0,     true,    1,    MINIMAL_FORALL_UNKNOWN,     1,     609.975,     609.865,     2.319,     607.546,     3,     4,     0.773,     151.886,     p1 = (((In_Therapy xor In_Therapy) and Air_In_Line) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     222.724,     213.89,     69.45,     144.44,     35,     36,     1.984,     4.012,     p1 = (false => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     155.352,     149.72,     46.624,     103.096,     35,     36,     1.332,     2.863,     p1 = (false => (out_Highest_Level_Alarm >= 3));,     
