infusion,     p10,     Faulty_Prop10-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     13.807,     13.711,     5.325,     8.386,     6,     6,     0.887,     1.397,     p1 = ((System_On and (Current_System_Mode = 2)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p11,     Faulty_Prop11-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     16.633,     16.509,     6.029,     10.48,     7,     7,     0.861,     1.497,     p1 = ((System_On and (Current_System_Mode = 3)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     10.871,     10.79,     3.22,     7.57,     6,     6,     0.536,     1.261,     p1 = ((System_On and (Current_System_Mode = 4)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     10.663,     10.594,     3.228,     7.366,     6,     6,     0.538,     1.227,     p1 = ((System_On and (Current_System_Mode = 4)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     10.548,     10.469,     3.116,     7.353,     6,     6,     0.519,     1.225,     p1 = ((System_On and (Current_System_Mode = 4)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p13,     Faulty_Prop13-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     4.784,     4.727,     1.507,     3.22,     3,     3,     0.502,     1.073,     p1 = ((System_On and (Current_System_Mode = 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     4.16,     4.118,     1.306,     2.812,     3,     3,     0.435,     0.937,     p1 = ((System_On and (Current_System_Mode = 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     4.379,     4.322,     1.405,     2.917,     3,     3,     0.468,     0.972,     p1 = ((System_On and (Current_System_Mode = 1)) => (Commanded_Flow_Rate = 0));,     
infusion,     p1,     Faulty_Prop1-ROR-0-8,     true,    3,    TRUE_FOR_MAX_STEPS,     3,     389.005,     387.851,     366.942,     20.909,     13,     13,     28.226,     1.608,     p1 = ((((Current_System_Mode = 5) xor false) xor ((Current_System_Mode <= 0) xor (Current_System_Mode >= 8))) => (((Current_System_Mode >= 0) xor false) and ((Current_System_Mode <= 3) xor (Current_System_Mode = 8))));,     
infusion,     p1,     Faulty_Prop1-LOR-2-0,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     643.551,     642.04,     614.989,     27.051,     12,     12,     51.249,     2.254,     p1 = ((((false xor (false xor (Current_System_Mode = 6))) xor (((Current_System_Mode >= 0) xor (Current_System_Mode >= 5)) and (not (Current_System_Mode = 5)))) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-ROR-0-14,     true,    3,    MINIMAL_EXISTS_UKNOWN,     3,     638.07,     635.389,     611.581,     23.808,     10,     10,     61.158,     2.38,     p1 = ((((Current_System_Mode > 8) xor (Current_System_Mode <= 5)) and ((Current_System_Mode = 6) => (Current_System_Mode = 0))) => (((Current_System_Mode > 4) xor (Current_System_Mode >= 0)) xor false));,     
