infusion,     p10,     Faulty_Prop10-ROR-0-8,     true,    2,    MUTANT_TIME_OUT,     4,     3654.991,     3639.739,     3521.305,     118.434,     65,     66,     54.173,     1.794,     p1 = ((System_On and (Current_System_Mode > 8)) xor ((Current_System_Mode >= 1) xor (not System_On)));,     
infusion,     p10,     Faulty_Prop10-ROR-1-3,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     19.933,     19.675,     6.993,     12.682,     8,     8,     0.874,     1.585,     p1 = (((Current_System_Mode >= 0) xor (Current_System_Mode <= 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-0-6,     true,    2,    MINIMAL_EXISTS_UKNOWN,     6,     949.767,     946.575,     889.087,     57.488,     33,     33,     26.942,     1.742,     p1 = ((System_On or (Commanded_Flow_Rate = Current_System_Mode)) and (System_On xor (Current_System_Mode < 1)));,     
infusion,     p10,     Faulty_Prop10-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     1167.302,     1160.781,     1088.186,     72.595,     36,     36,     30.227,     2.016,     p1 = (((not System_On) xor (Current_System_Mode >= 1)) and ((Current_System_Mode < Commanded_Flow_Rate) => (Current_System_Mode >= 2)));,     
infusion,     p10,     Faulty_Prop10-LOR-0-2,     true,    2,    MINIMAL_EXISTS_UKNOWN,     6,     1368.935,     1361.186,     1288.799,     72.387,     48,     48,     26.849,     1.508,     p1 = (((Current_System_Mode = 0) xor System_On) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)));,     
infusion,     p10,     Faulty_Prop10-LOR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     223.536,     218.31,     159.482,     58.828,     44,     45,     3.624,     1.307,     p1 = (not (System_On xor (Current_System_Mode >= 1)));,     
infusion,     p10,     Faulty_Prop10-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.861,     9.768,     3.013,     6.755,     5,     5,     0.602,     1.351,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     233.703,     228.213,     168.443,     59.77,     44,     45,     3.828,     1.328,     p1 = (not (System_On xor (Current_System_Mode >= 1)));,     
infusion,     p10,     Faulty_Prop10-ROR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     21.171,     20.973,     7.05,     13.923,     10,     10,     0.705,     1.392,     p1 = (((Current_System_Mode > 8) xor (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     740.082,     737.133,     690.856,     46.277,     33,     33,     20.935,     1.402,     p1 = (((Current_System_Mode >= 1) xor (not System_On)) and ((Current_System_Mode < 0) xor (Current_System_Mode <= 8)));,     
infusion,     p10,     Faulty_Prop10-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     693.538,     690.818,     643.057,     47.761,     33,     33,     19.486,     1.447,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p10,     Faulty_Prop10-LOR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     17.112,     16.968,     5.342,     11.626,     8,     8,     0.667,     1.453,     p1 = (((Current_System_Mode >= 0) xor (Current_System_Mode <= 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     14.564,     14.469,     4.129,     10.34,     7,     7,     0.589,     1.477,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     14.534,     14.429,     4.324,     10.105,     7,     7,     0.617,     1.443,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     778.666,     774.86,     718.727,     56.133,     39,     39,     18.428,     1.439,     p1 = (((Commanded_Flow_Rate = Current_System_Mode) or System_On) and ((not System_On) xor (Current_System_Mode >= 1)));,     
infusion,     p10,     Faulty_Prop10-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     920.112,     916.797,     866.621,     50.176,     36,     36,     24.072,     1.393,     p1 = ((System_On xor (Current_System_Mode <= 0)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p10,     Faulty_Prop10-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     778.371,     774.451,     718.646,     55.805,     39,     39,     18.426,     1.43,     p1 = (((Commanded_Flow_Rate = Current_System_Mode) or System_On) and ((not System_On) xor (Current_System_Mode >= 1)));,     
infusion,     p10,     Faulty_Prop10-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     10.6,     10.52,     3.116,     7.404,     5,     5,     0.623,     1.48,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-1-3,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     16.844,     16.702,     5.776,     10.926,     8,     8,     0.722,     1.365,     p1 = (((Current_System_Mode >= 0) xor (Current_System_Mode <= 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     1079.088,     1075.945,     1025.817,     50.128,     36,     36,     28.494,     1.392,     p1 = (((not System_On) xor (Current_System_Mode >= 1)) and ((Current_System_Mode < Commanded_Flow_Rate) => (Current_System_Mode >= 2)));,     
infusion,     p10,     Faulty_Prop10-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     17.295,     17.184,     4.951,     12.233,     7,     7,     0.707,     1.747,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     18.562,     18.413,     5.674,     12.739,     8,     8,     0.709,     1.592,     p1 = (((Current_System_Mode >= 0) xor (Current_System_Mode <= 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     15.874,     15.761,     5.335,     10.426,     7,     7,     0.762,     1.489,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     1374.481,     1365.603,     1281.682,     83.921,     53,     53,     24.182,     1.583,     p1 = (((Current_System_Mode > 0) xor (not System_On)) and (System_On or (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p10,     Faulty_Prop10-ROR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     21.033,     20.879,     7.171,     13.708,     10,     10,     0.717,     1.37,     p1 = (((Current_System_Mode > 8) xor (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.756,     9.674,     3.011,     6.663,     5,     5,     0.602,     1.332,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     877.971,     874.75,     823.461,     51.289,     36,     36,     22.873,     1.424,     p1 = ((System_On xor (Current_System_Mode <= 0)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p11,     Faulty_Prop11-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     1375.487,     1371.922,     1325.731,     46.191,     33,     33,     40.173,     1.399,     p1 = (((Commanded_Flow_Rate = 0) or System_On) and ((Commanded_Flow_Rate >= 0) and (Current_System_Mode <= 8)));,     
infusion,     p11,     Faulty_Prop11-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     1435.785,     1432.865,     1386.319,     46.546,     33,     33,     42.009,     1.41,     p1 = (((Commanded_Flow_Rate = 0) or System_On) and ((Commanded_Flow_Rate >= 0) and (Current_System_Mode <= 8)));,     
infusion,     p11,     Faulty_Prop11-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     14.647,     14.546,     4.539,     10.007,     7,     7,     0.648,     1.429,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     14.532,     14.423,     4.426,     9.997,     7,     7,     0.632,     1.428,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     1252.799,     1246.068,     1176.657,     69.411,     50,     50,     23.533,     1.388,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p11,     Faulty_Prop11-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     499.627,     497.525,     455.232,     42.293,     31,     31,     14.684,     1.364,     p1 = ((System_On and (Commanded_Flow_Rate <= 255)) xor ((Commanded_Flow_Rate = 0) and (Current_System_Mode <= Commanded_Flow_Rate)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     1118.016,     1111.817,     1041.37,     70.447,     50,     50,     20.827,     1.408,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)) and (System_On xor (Current_System_Mode = 0)));,     
