infusion,     p10,     Faulty_Prop10-LOR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     42.966,     42.331,     12.976,     29.355,     12,     12,     1.081,     2.446,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-1-0,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     29.607,     29.418,     9.681,     19.737,     12,     12,     0.806,     1.644,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 2)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     28.188,     27.987,     9.878,     18.109,     12,     12,     0.823,     1.509,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 2)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-1-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     15.789,     15.656,     5.136,     10.52,     7,     7,     0.733,     1.502,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode < 0)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     31.454,     31.233,     10.392,     20.841,     12,     12,     0.866,     1.736,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p11,     Faulty_Prop11-LOR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     23.535,     23.335,     7.968,     15.367,     11,     11,     0.724,     1.397,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-ROR-1-3,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.52,     18.353,     5.945,     12.408,     11,     11,     0.54,     1.128,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.816,     18.646,     6.042,     12.604,     11,     11,     0.549,     1.145,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     19.031,     18.859,     6.14,     12.719,     11,     11,     0.558,     1.156,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-ROR-1-3,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.839,     18.664,     6.245,     12.419,     11,     11,     0.567,     1.129,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     21.805,     21.603,     7.162,     14.441,     12,     12,     0.596,     1.203,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
