gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     636.659,     634.267,     350.745,     283.522,     29,     29,     12.094,     9.776,     p1 = (((not System_On) or (out_Is_Audio_Disabled = 0)) or ((Disable_Audio = out_Is_Audio_Disabled) and (out_Audio_Notification_Command = 0)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     694.784,     687.873,     279.07,     408.803,     44,     45,     6.342,     9.084,     p1 = ((false xor (Disable_Audio = out_Is_Audio_Disabled)) or (false xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     718.69,     716.228,     391.461,     324.767,     29,     29,     13.498,     11.198,     p1 = (((not System_On) or (out_Is_Audio_Disabled = 0)) or ((Disable_Audio = out_Is_Audio_Disabled) and (out_Audio_Notification_Command = 0)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     5,     3609.814,     3595.342,     3110.027,     485.315,     64,     65,     48.594,     7.466,     p1 = ((System_On and (Disable_Audio = out_Is_Audio_Disabled)) xor ((out_Is_Audio_Disabled < 0) xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     692.209,     685.188,     283.784,     401.404,     44,     45,     6.449,     8.92,     p1 = ((false xor (Disable_Audio = out_Is_Audio_Disabled)) or (false xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     5,     3502.72,     3489.272,     3024.224,     465.048,     64,     65,     47.253,     7.154,     p1 = ((System_On and (Disable_Audio = out_Is_Audio_Disabled)) xor ((out_Is_Audio_Disabled < 0) xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     547.532,     541.042,     230.308,     310.734,     44,     45,     5.234,     6.905,     p1 = ((false xor (Disable_Audio = out_Is_Audio_Disabled)) or (false xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-7,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     2352.461,     2341.494,     2062.585,     278.909,     58,     59,     35.561,     4.727,     p1 = (((not System_On) and (out_Is_Audio_Disabled >= 0)) xor (System_On and (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-0-9,     true,    2,    MUTANT_TIME_OUT,     4,     4079.43,     4067.627,     3769.396,     298.231,     61,     62,     61.793,     4.81,     p1 = (((out_Is_Audio_Disabled >= 7) or (out_Is_Audio_Disabled >= 0)) and ((Disable_Audio = out_Is_Audio_Disabled) or (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     1397.865,     1387.099,     415.737,     971.362,     56,     57,     7.423,     17.041,     p1 = ((System_On and (Disable_Audio < 0)) xor ((out_Audio_Notification_Command >= 2) or (out_Audio_Notification_Command >= 0)));,     
gpca,     p7,     Faulty_GPCA_Prop7-ROR-0-13,     true,    2,    MUTANT_TIME_OUT,     4,     3621.266,     3610.589,     2897.155,     713.434,     57,     58,     50.827,     12.3,     p1 = (((not System_On) and (out_Is_Audio_Disabled < 0)) xor ((not System_On) or (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     562.959,     556.528,     248.619,     307.909,     44,     45,     5.65,     6.842,     p1 = ((false xor (Disable_Audio = out_Is_Audio_Disabled)) or (false xor (not System_On)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     559.521,     556.833,     307.686,     249.147,     29,     29,     10.609,     8.591,     p1 = (((not System_On) or (out_Is_Audio_Disabled = 0)) or ((Disable_Audio = out_Is_Audio_Disabled) and (out_Audio_Notification_Command = 0)));,     
