infusion,     p8,     Faulty_Prop8-ROR-3-5,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     27.325,     26.785,     7.952,     18.833,     7,     7,     1.136,     2.69,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode <= 8) and (Current_System_Mode >= 1)));,     
infusion,     p8,     Faulty_Prop8-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     305.933,     302.572,     235.504,     67.068,     24,     24,     9.812,     2.794,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode <= 8)) and ((not System_On) xor (Current_System_Mode > 0)));,     
infusion,     p8,     Faulty_Prop8-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     278.28,     274.619,     206.745,     67.874,     32,     32,     6.46,     2.121,     p1 = (((Current_System_Mode >= 1) xor (not System_On)) and ((Current_System_Mode = 5) xor (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-7-13,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     11.019,     10.906,     3.32,     7.586,     5,     5,     0.664,     1.517,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode = 3)) and (not (Current_System_Mode = 6))));,     
infusion,     p8,     Faulty_Prop8-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     280.249,     277.892,     232.015,     45.877,     31,     31,     7.484,     1.479,     p1 = (((Current_System_Mode > 0) xor (not System_On)) and ((Current_System_Mode = 5) xor (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-3-7,     true,    1,    TRUE_FOR_MAX_STEPS,     6,     22.229,     22.057,     7.458,     14.599,     11,     11,     0.678,     1.327,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode = 8) xor (Current_System_Mode < 3)));,     
infusion,     p8,     Faulty_Prop8-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     227.285,     225.268,     184.954,     40.314,     29,     29,     6.377,     1.39,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) and ((Current_System_Mode >= 1) xor (not System_On)));,     
infusion,     p8,     Faulty_Prop8-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     156.289,     155.029,     120.158,     34.871,     24,     24,     5.006,     1.452,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode <= 8)) and ((not System_On) xor (Current_System_Mode > 0)));,     
infusion,     p8,     Faulty_Prop8-ROR-7-13,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     13.396,     13.285,     4.066,     9.219,     5,     5,     0.813,     1.843,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode = 3)) and (not (Current_System_Mode = 6))));,     
infusion,     p8,     Faulty_Prop8-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     221.178,     218.776,     167.04,     51.736,     31,     31,     5.388,     1.668,     p1 = ((System_On xor (Current_System_Mode = 0)) and ((Current_System_Mode = 5) xor (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     350.572,     348.219,     300.539,     47.68,     31,     31,     9.694,     1.538,     p1 = (((Current_System_Mode > 0) xor (not System_On)) and ((Current_System_Mode = 5) xor (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-7-11,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.567,     9.485,     2.911,     6.574,     4,     4,     0.727,     1.643,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode = 3)) and (not (Current_System_Mode > 8))));,     
infusion,     p8,     Faulty_Prop8-ROR-0-9,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     514.317,     510.965,     458.956,     52.009,     35,     35,     13.113,     1.485,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode <= 8)) and ((Current_System_Mode <= 0) xor System_On));,     
infusion,     p8,     Faulty_Prop8-ROR-4-8,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     10.585,     10.482,     3.314,     7.168,     4,     4,     0.828,     1.792,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode >= 1) and (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-ROR-3-11,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     23.282,     23.079,     8.85,     14.229,     9,     9,     0.983,     1.581,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode >= 3) => (Current_System_Mode = 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-3-9,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     17.521,     17.396,     5.135,     12.261,     7,     7,     0.733,     1.751,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode <= 8) and (Current_System_Mode >= 1)));,     
infusion,     p8,     Faulty_Prop8-ROR-6-12,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     10.991,     10.892,     3.816,     7.076,     4,     4,     0.954,     1.769,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode = 3)) and (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     121.65,     120.303,     84.853,     35.45,     21,     21,     4.04,     1.688,     p1 = (((Current_System_Mode < 1) xor System_On) and ((Current_System_Mode <= 8) xor (Current_System_Mode = 5)));,     
infusion,     p8,     Faulty_Prop8-ROR-3-10,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     18.542,     18.393,     5.432,     12.961,     7,     7,     0.776,     1.851,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode <= 8) and (Current_System_Mode >= 1)));,     
infusion,     p8,     Faulty_Prop8-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     318.339,     315.866,     261.449,     54.417,     29,     29,     9.015,     1.876,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) and ((Current_System_Mode >= 1) xor (not System_On)));,     
infusion,     p8,     Faulty_Prop8-ROR-7-13,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     12.403,     12.299,     3.62,     8.679,     5,     5,     0.724,     1.735,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode = 3)) and (not (Current_System_Mode = 6))));,     
infusion,     p8,     Faulty_Prop8-ROR-0-13,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     654.364,     650.408,     590.975,     59.433,     37,     37,     15.972,     1.606,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode <= 8)) and ((Current_System_Mode >= 1) xor (not System_On)));,     
