gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     113.256,     111.448,     31.33,     80.118,     17,     17,     1.842,     4.712,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     290.246,     288.529,     31.897,     256.632,     19,     19,     1.678,     13.506,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     13.208,     13.012,     3.522,     9.49,     4,     4,     0.88,     2.372,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-1,     true,    1,    MINIMAL_FORALL_UNKNOWN,     1,     617.788,     617.615,     3.422,     614.193,     4,     5,     0.855,     122.838,     p1 = (((not System_On) xor (not System_On)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     102.628,     101.407,     29.382,     72.025,     17,     17,     1.728,     4.236,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     92.489,     91.373,     23.159,     68.214,     17,     17,     1.362,     4.012,     p1 = (((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     9.98,     9.871,     2.717,     7.154,     4,     4,     0.679,     1.788,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     235.109,     233.859,     27.284,     206.575,     19,     19,     1.436,     10.872,     p1 = (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     15.772,     15.611,     4.329,     11.282,     6,     6,     0.721,     1.88,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-0--1,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     624.286,     624.029,     5.736,     618.293,     5,     6,     1.147,     103.048,     p1 = ((System_On => System_On) or (Occlusion xor false));,     
gpca,     p4,     Faulty_GPCA_Prop4-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     14.891,     14.701,     3.616,     11.085,     4,     4,     0.904,     2.771,     p1 = ((System_On and Occlusion) => (out_Highest_Level_Alarm <= 4));,     
