gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-3-ROR-4--1,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     103.597,     101.644,     34.061,     67.583,     34,     35,     1.001,     1.93,     p1 = (((((not In_Therapy) => (not In_Therapy)) => Reservoir_Empty) and false) => (out_Highest_Level_Alarm >= 3));,
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2-3-ROR-4-6,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     148.105,     144.569,     34.36,     110.209,     34,     35,     1.01,     3.148,     p1 = ((((Reservoir_Empty => In_Therapy) and (In_Therapy => Reservoir_Empty)) and false) => (out_Highest_Level_Alarm > 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-2--1-ROR-2-5,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     46.467,     46.171,     8.175,     37.996,     9,     9,     0.908,     4.221,     p1 = ((((In_Therapy => (not System_On)) xor ((not System_On) or (not In_Therapy))) and (Volume_Infused < VTBI_High)) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-4-2-ROR-5-8,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     120.746,     119.115,     33.133,     85.982,     34,     35,     0.974,     2.456,     p1 = ((((System_On and In_Therapy) or Reservoir_Empty) and false) => (out_Highest_Level_Alarm < 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-2-1-ROR-4-4,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     635.274,     635.107,     3.218,     631.889,     4,     5,     0.804,     126.377,     p1 = ((((In_Therapy or (not In_Therapy)) or ((not In_Therapy) and (not In_Therapy))) and false) => (out_Highest_Level_Alarm < 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-4-1-ROR-5--1,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     636.414,     635.953,     11.71,     624.243,     16,     17,     0.731,     36.72,     p1 = ((((System_On xor In_Therapy) and Reservoir_Empty) and false) => (out_Highest_Level_Alarm > 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-4-3-ROR-5-8,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     121.871,     119.749,     42.316,     77.433,     35,     36,     1.209,     2.15,     p1 = ((((System_On and In_Therapy) => Reservoir_Empty) and false) => false);,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2--1-ROR-4-6,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     152.06,     147.455,     44.307,     103.148,     35,     36,     1.265,     2.865,     p1 = (((((not System_On) and (not In_Therapy)) and ((not In_Therapy) => (not In_Therapy))) and false) => (out_Highest_Level_Alarm > 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-3-ROR-4-5,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     135.433,     132.725,     43.196,     89.529,     36,     37,     1.199,     2.419,     p1 = (((((not In_Therapy) or (not System_On)) => Reservoir_Empty) and false) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-2-2-ROR-2-7,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     29.229,     28.982,     8.148,     20.834,     9,     9,     0.905,     2.314,     p1 = (((((not In_Therapy) or (not In_Therapy)) xor ((not In_Therapy) or (not In_Therapy))) and (Volume_Infused = VTBI_High)) => (out_Highest_Level_Alarm = 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2-1-ROR-2-4,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     91.749,     91.51,     7.354,     84.156,     9,     9,     0.817,     9.35,     p1 = ((((Reservoir_Empty and (not Reservoir_Empty)) and ((not System_On) or (not Reservoir_Empty))) and (Volume_Infused > VTBI_High)) => (out_Highest_Level_Alarm < 3));,     
