gpca,     p8,     Faulty_GPCA_Prop8-LOR-2--1-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     107.386,     104.523,     27.29,     77.233,     36,     37,     0.758,     2.087,     p1 = (((System_On and (not System_On)) and (Reservoir_Volume < 2)) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2-1-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     101.099,     98.531,     24.976,     73.555,     34,     35,     0.734,     2.101,     p1 = ((((not In_Therapy) => (not In_Therapy)) and false) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2-3-ROR-2-7,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     8.691,     8.488,     2.825,     5.663,     5,     5,     0.565,     1.132,     p1 = (((In_Therapy and (not In_Therapy)) and (Reservoir_Volume <> Low_Reservoir)) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3--1-ROR-4-2,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     786.704,     786.11,     9.232,     776.878,     16,     17,     0.577,     45.698,     p1 = (((System_On or In_Therapy) and false) => (out_Highest_Level_Alarm >= 16));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2-3-ROR-2-6,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     9.833,     9.616,     2.92,     6.696,     5,     5,     0.584,     1.339,     p1 = (((In_Therapy and (not In_Therapy)) and (Reservoir_Volume <> Low_Reservoir)) => (out_Highest_Level_Alarm > 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-0-ROR-3-4,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     91.779,     88.958,     31.045,     57.913,     35,     36,     0.887,     1.608,     p1 = (((System_On and (not System_On)) and (Low_Reservoir >= 0)) => (out_Highest_Level_Alarm < 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2-0-ROR-3-4,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     85.26,     82.519,     30.671,     51.848,     35,     36,     0.876,     1.44,     p1 = ((((not In_Therapy) => (not System_On)) and false) => (out_Highest_Level_Alarm < 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3-0-LOR-4-0,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     643.135,     642.399,     9.538,     632.861,     16,     17,     0.596,     37.227,     p1 = (((System_On or In_Therapy) and false) => false);,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-0-ROR-2-7,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     9.467,     9.192,     3.326,     5.866,     5,     5,     0.665,     1.173,     p1 = ((((not In_Therapy) xor (not In_Therapy)) and (Reservoir_Volume < Low_Reservoir)) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2--1-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     107.95,     105.136,     27.488,     77.648,     36,     37,     0.763,     2.098,     p1 = (((System_On and (not System_On)) and (Reservoir_Volume < 2)) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3-0-ROR-3-6,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     250.051,     248.106,     24.942,     223.164,     35,     36,     0.712,     6.199,     p1 = (((System_On => In_Therapy) and false) => (out_Highest_Level_Alarm > 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2--1-ROR-2-6,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     9.148,     8.991,     2.717,     6.274,     5,     5,     0.543,     1.254,     p1 = ((((not In_Therapy) and In_Therapy) and (Reservoir_Volume < Low_Reservoir)) => (out_Highest_Level_Alarm > 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3-0-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     105.378,     103.773,     23.943,     79.83,     34,     35,     0.704,     2.28,     p1 = (((System_On => In_Therapy) and false) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-1-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     93.862,     91.465,     25.263,     66.202,     34,     35,     0.743,     1.891,     p1 = ((((not In_Therapy) and In_Therapy) and false) => (out_Highest_Level_Alarm = 2));,     
