infusion,     p8,     Faulty_Prop8-LOR-3--1-ROR-3-7,     false,    1,    TRUE_FOR_MAX_STEPS,     2,     18.033,     17.833,     6.437,     11.396,     8,     8,     0.804,     1.424,     p1 = ((System_On or (Highest_Level_Alarm = 2)) => ((Current_System_Mode <= 8) and (Current_System_Mode >= 0)));,
infusion,     p8,     Faulty_Prop8-LOR-1-7-ROR-4-11,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     35.115,     34.794,     13.611,     21.183,     15,     15,     0.907,     1.412,     p1 = (((not System_On) xor false) => ((Current_System_Mode = 1) xor (not (Current_System_Mode > 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-1-5-LOR-4-7,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     30.776,     30.509,     10.16,     20.349,     13,     13,     0.781,     1.565,     p1 = (((Highest_Level_Alarm <= 1) => (not System_On)) => ((Current_System_Mode > 8) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-ROR-1-1-LOR-5-7,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     62.816,     62.015,     25.998,     36.017,     20,     20,     1.299,     1.8,     p1 = (((Highest_Level_Alarm > 1) or (not System_On)) => ((not (Current_System_Mode <= 8)) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-ROR-3-3-ROR-3-7,     false,    1,    TRUE_FOR_MAX_STEPS,     3,     27.766,     27.566,     8.762,     18.804,     9,     9,     0.973,     2.089,     p1 = ((System_On and (Highest_Level_Alarm <> 2)) => ((Current_System_Mode <= 0) xor (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-LOR-2-3-ROR-5-8,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     28.158,     27.968,     10.372,     17.596,     11,     11,     0.942,     1.599,     p1 = ((System_On and (Highest_Level_Alarm < 2)) or ((not (Current_System_Mode > 8)) and (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-3--1-ROR-3-5,     false,    1,    TRUE_FOR_MAX_STEPS,     2,     22.83,     22.616,     7.157,     15.459,     9,     9,     0.795,     1.717,     p1 = ((System_On or (Highest_Level_Alarm = 2)) => ((Current_System_Mode <= 8) and (Current_System_Mode >= 0)));,     
infusion,     p8,     Faulty_Prop8-ROR-3-1-ROR-3-9,     false,    1,    TRUE_FOR_MAX_STEPS,     5,     25.371,     25.174,     8.199,     16.975,     11,     11,     0.745,     1.543,     p1 = ((System_On and (Highest_Level_Alarm > 2)) => ((Current_System_Mode = 1) xor (Current_System_Mode > 5)));,     
infusion,     p8,     Faulty_Prop8-ROR-1-1-ROR-1-6,     false,    1,    TRUE_FOR_MAX_STEPS,     2,     27.093,     26.9,     7.892,     19.008,     11,     11,     0.717,     1.728,     p1 = (((not System_On) xor false) => ((not (Current_System_Mode > 3)) and (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-ROR-1-8-ROR-4-12,     false,    0,    TRUE_FOR_MAX_STEPS,     5,     39.876,     39.372,     15.274,     24.098,     18,     18,     0.848,     1.338,     p1 = ((false xor (not System_On)) => ((Current_System_Mode <= 0) and (not (Current_System_Mode >= 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-1-2-ROR-3--1,     false,    1,    TRUE_FOR_MAX_STEPS,     2,     43.271,     42.637,     17.358,     25.279,     17,     17,     1.021,     1.487,     p1 = ((System_On => System_On) and ((Current_System_Mode >= 0) and (Current_System_Mode <= 8)));,     
infusion,     p8,     Faulty_Prop8-LOR-5-5-LOR-6-7,     false,    0,    TRUE_FOR_MAX_STEPS,     7,     24.247,     24.095,     8.755,     15.34,     12,     12,     0.729,     1.278,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode > 2)) xor (Current_System_Mode = 8)));,     
infusion,     p8,     Faulty_Prop8-LOR-1-3-ROR-3-11,     false,    1,    TRUE_FOR_MAX_STEPS,     3,     32.408,     32.044,     12.21,     19.834,     14,     14,     0.872,     1.416,     p1 = (((not System_On) and (not System_On)) or ((Current_System_Mode <= 8) and (Current_System_Mode >= 1)));,     
infusion,     p8,     Faulty_Prop8-LOR-1-1-LOR-4-7,     false,    0,    TRUE_FOR_MAX_STEPS,     6,     42.549,     42.148,     15.06,     27.088,     17,     17,     0.885,     1.593,     p1 = ((false xor (not System_On)) => ((Current_System_Mode >= 5) xor (not (Current_System_Mode = 4))));,     
