tcas,     p4,     Prop4-ROR-1-1-ROR-1-12,     false,    1,    TRUE_FOR_MAX_STEPS,     5,     25.301,     25.146,     13.177,     11.969,     16,     16,     0.823,     0.748,     p1 = (((alim_res_s < 500) xor (alim_res_s = 400)) => (result_alt_sep_test_s >= 2));,     
tcas,     p4,     Prop4-ROR-4--1-ROR-4-12,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.952,     5.941,     2.616,     3.325,     4,     4,     0.654,     0.831,     p1 = (((Up_Separation_s < alim_res_s) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s <= 1));,     
tcas,     p4,     Prop4-LOR-3-4-ROR-4-6,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     64.243,     63.552,     34.298,     29.254,     40,     41,     0.857,     0.713,     p1 = (((Up_Separation_s >= alim_res_s) and false) xor (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-4-6-ROR-4-13,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.682,     5.671,     2.345,     3.326,     4,     4,     0.586,     0.831,     p1 = (((Up_Separation_s >= alim_res_s) and (Down_Separation_s >= alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-4-5-ROR-4-11,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.871,     5.86,     2.821,     3.039,     4,     4,     0.705,     0.759,     p1 = (((Up_Separation_s >= alim_res_s) and (Down_Separation_s > alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-LOR-3-4-ROR-4-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     20.343,     20.275,     10.938,     9.337,     12,     12,     0.911,     0.778,     p1 = (((Up_Separation_s = alim_res_s) and (alim_res_s > 740)) xor (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-2-7-ROR-3-11,     false,    0,    TRUE_FOR_MAX_STEPS,     6,     28.807,     28.68,     13.9,     14.78,     19,     19,     0.731,     0.777,     p1 = (((alim_res_s < 500) and (alim_res_s > 400)) => (result_alt_sep_test_s > 2));,     
tcas,     p4,     Prop4-LOR-1-3-ROR-1-1,     false,    1,    TRUE_FOR_MAX_STEPS,     3,     31.902,     31.733,     16.193,     15.54,     18,     18,     0.899,     0.863,     p1 = (((alim_res_s > 399) xor (alim_res_s = 739)) or (result_alt_sep_test_s <> 2));,     
tcas,     p4,     Prop4-LOR-2-0-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     19.248,     19.186,     10.186,     9.0,     11,     11,     0.926,     0.818,     p1 = (((alim_res_s <= Up_Separation_s) => (alim_res_s = 502)) => (result_alt_sep_test_s <> 2));,     
tcas,     p4,     Prop4-ROR-4-1-ROR-4-5,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     7.097,     7.081,     3.036,     4.045,     4,     4,     0.759,     1.011,     p1 = (((Up_Separation_s > alim_res_s) and (Down_Separation_s > alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-2-0-ROR-2-6,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     24.478,     24.418,     12.014,     12.404,     14,     14,     0.858,     0.886,     p1 = (((alim_res_s < 400) and (Down_Separation_s >= alim_res_s)) => (result_alt_sep_test_s <> 2));,     
tcas,     p4,     Prop4-LOR-2-4-ROR-4-1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     16.922,     16.863,     9.006,     7.857,     9,     9,     1.0,     0.873,     p1 = (((alim_res_s <= 399) and (Down_Separation_s < alim_res_s)) xor (result_alt_sep_test_s <= 2));,     
tcas,     p4,     Prop4-ROR-2-7-ROR-4-13,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     12.633,     12.605,     5.335,     7.27,     8,     8,     0.666,     0.908,     p1 = (((Up_Separation_s < alim_res_s) and (Down_Separation_s = alim_res_s)) => (result_alt_sep_test_s = 0));,     
tcas,     p4,     Prop4-LOR-2-3-ROR-4-5,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     26.85,     26.746,     13.274,     13.472,     15,     15,     0.884,     0.898,     p1 = ((false and (Down_Separation_s > alim_res_s)) or (result_alt_sep_test_s <= 2));,     
tcas,     p4,     Prop4-LOR-1-1-ROR-1-11,     false,    1,    TRUE_FOR_MAX_STEPS,     102,     309.728,     305.504,     199.267,     106.237,     126,     126,     1.581,     0.843,     p1 = (((alim_res_s < 500) xor (alim_res_s = 400)) => (result_alt_sep_test_s > 2));,     
tcas,     p4,     Prop4-ROR-4-5-ROR-4-13,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     6.017,     6.005,     2.724,     3.281,     4,     4,     0.681,     0.82,     p1 = (((Up_Separation_s >= alim_res_s) and (Down_Separation_s > alim_res_s)) => (result_alt_sep_test_s >= 0));,     
