gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-3,     true,    1,    MINIMAL_MAX_LOOP_REACHED,     1,     115.988,     113.124,     28.663,     84.461,     35,     36,     0.818,     2.346,     p1 = (not (out_Is_Audio_Disabled < 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-0-ROR-0-3,     true,    1,    MINIMAL_MAX_LOOP_REACHED,     1,     446.399,     444.14,     36.316,     407.824,     34,     35,     1.068,     11.652,     p1 = ((out_Is_Audio_Disabled < Disable_Audio) => (Disable_Audio > 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-3,     true,    1,    MINIMAL_MAX_LOOP_REACHED,     1,     113.29,     110.876,     27.675,     83.201,     35,     36,     0.79,     2.311,     p1 = (not (out_Is_Audio_Disabled < 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-0-ROR-0-3,     true,    1,    MINIMAL_MAX_LOOP_REACHED,     1,     444.385,     442.168,     35.75,     406.418,     34,     35,     1.051,     11.611,     p1 = ((out_Is_Audio_Disabled < Disable_Audio) => (Disable_Audio > 0));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-4-LOR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     100.762,     98.827,     34.89,     63.937,     20,     20,     1.744,     3.196,     p1 = (((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm > 0)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-7-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     163.206,     161.688,     32.994,     128.694,     20,     20,     1.649,     6.434,     p1 = (((out_Highest_Level_Alarm = 0) => System_On) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-0-LOR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     34.928,     34.433,     9.474,     24.959,     9,     9,     1.052,     2.773,     p1 = (((Reservoir_Empty => (not In_Therapy)) xor ((not Reservoir_Empty) => System_On)) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     18.67,     18.509,     4.224,     14.285,     7,     7,     0.603,     2.04,     p1 = ((((not System_On) or (not System_On)) or (System_On xor (not System_On))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-0-LOR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     131.33,     129.634,     47.019,     82.615,     23,     23,     2.044,     3.591,     p1 = (((out_Highest_Level_Alarm > 0) or (not System_On)) and ((out_Highest_Level_Alarm >= 0) xor (out_Highest_Level_Alarm >= 5)));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-LOR-3-3,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     100.561,     97.057,     32.136,     64.921,     34,     35,     0.945,     1.854,     p1 = ((((not In_Therapy) => (not In_Therapy)) or (Reservoir_Empty => (not In_Therapy))) => (out_Highest_Level_Alarm < 10));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-5-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     77.568,     76.521,     26.215,     50.306,     18,     18,     1.456,     2.794,     p1 = (((out_Highest_Level_Alarm >= 1) => (out_Highest_Level_Alarm > 4)) => ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
