infusion,     p10,     Faulty_Prop10-LOR-1-1-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     27.533,     27.166,     8.932,     18.234,     11,     11,     0.812,     1.657,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1-0-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     28.578,     28.346,     9.352,     18.994,     11,     11,     0.85,     1.726,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     36.734,     36.361,     13.416,     22.945,     15,     15,     0.894,     1.529,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode = 5)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1-ROR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     28.226,     27.97,     9.275,     18.695,     11,     11,     0.843,     1.699,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1--1-ROR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     28.61,     28.363,     9.691,     18.672,     11,     11,     0.881,     1.697,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode > 8)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1-ROR-3-2,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     44.06,     43.581,     16.557,     27.024,     15,     15,     1.103,     1.801,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode = 5)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     36.484,     36.128,     12.619,     23.509,     14,     14,     0.901,     1.679,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 2)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     42.729,     42.325,     15.969,     26.356,     15,     15,     1.064,     1.757,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode = 5)) => (Flow_Rate_Basal = Commanded_Flow_Rate));,     
infusion,     p10,     Faulty_Prop10-LOR-1--1-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     17.602,     17.463,     5.445,     12.018,     7,     7,     0.777,     1.716,     p1 = (((Current_System_Mode = 2) xor (Current_System_Mode < 0)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p11,     Faulty_Prop11-LOR-1--1-ROR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     23.204,     22.886,     7.089,     15.797,     11,     11,     0.644,     1.436,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-1-1-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     38.214,     37.859,     13.922,     23.937,     17,     17,     0.818,     1.408,     p1 = (((Current_System_Mode = 3) xor (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-1--1-ROR-1-3,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     23.196,     22.997,     7.459,     15.538,     11,     11,     0.678,     1.412,     p1 = (((Current_System_Mode <= 3) xor (Current_System_Mode < 6)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-1-1-ROR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     28.812,     28.555,     9.878,     18.677,     11,     11,     0.898,     1.697,     p1 = (((Current_System_Mode <= 5) xor (Current_System_Mode <= 3)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p13,     Faulty_Prop13-LOR-1-1-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     31.257,     30.835,     11.036,     19.799,     13,     13,     0.848,     1.523,     p1 = (((Current_System_Mode < 2) or (not System_On)) => (Commanded_Flow_Rate = 0));,     
