gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     87.726,     86.325,     21.174,     65.151,     17,     17,     1.245,     3.832,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     85.224,     84.23,     20.774,     63.456,     17,     17,     1.222,     3.732,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((not System_On) and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0--1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     128.681,     127.633,     21.764,     105.869,     18,     18,     1.209,     5.881,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     132.175,     130.796,     22.829,     107.967,     18,     18,     1.268,     5.998,     p1 = (((out_Highest_Level_Alarm >= 1) and (out_Highest_Level_Alarm <= 4)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-4-ROR-0-0,     true,    2,    MINIMAL_FORALL_UNKNOWN,     2,     675.691,     674.487,     18.805,     655.682,     17,     18,     1.106,     36.426,     p1 = (((out_Highest_Level_Alarm >= 8) xor (out_Highest_Level_Alarm <= 7)) and ((out_Highest_Level_Alarm < 8) and (out_Highest_Level_Alarm <= 4)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-ROR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     110.474,     108.929,     30.537,     78.392,     21,     21,     1.454,     3.732,     p1 = (((out_Highest_Level_Alarm > 4) or System_On) => ((out_Highest_Level_Alarm = 0) xor (out_Highest_Level_Alarm <= 4)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-1-0-LOR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     29.962,     29.785,     5.142,     24.643,     8,     8,     0.642,     3.08,     p1 = (((not Occlusion) xor Occlusion) => (out_Highest_Level_Alarm < 5));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-1-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     71.923,     71.273,     16.761,     54.512,     15,     15,     1.117,     3.634,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 1)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-3-ROR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     69.686,     68.905,     18.364,     50.541,     16,     16,     1.147,     3.158,     p1 = (((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm >= 0)) xor (System_On and (out_Highest_Level_Alarm = 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-0-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     319.75,     318.71,     22.531,     296.179,     18,     18,     1.251,     16.454,     p1 = (((not System_On) and (out_Highest_Level_Alarm = 0)) xor ((out_Highest_Level_Alarm < 5) xor (out_Highest_Level_Alarm <= 0)));,     
gpca,     p4,     Faulty_GPCA_Prop4-LOR-0-2-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     259.679,     258.522,     29.901,     228.621,     17,     17,     1.758,     13.448,     p1 = (((out_Highest_Level_Alarm > 0) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm = 0) and (not System_On)));,     
