infusion,     p5,     Faulty_Prop5-LOR-0-4-ROR-0-8,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     316.603,     309.591,     241.103,     68.488,     49,     50,     4.92,     1.369,     p1 = (((Commanded_Flow_Rate > 0) xor System_On) => (System_On and (Commanded_Flow_Rate = 0)));,     
infusion,     p5,     Faulty_Prop5-LOR-0-1-ROR-0-6,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     5,     694.147,     686.897,     614.352,     72.545,     52,     53,     11.814,     1.368,     p1 = (((not System_On) or (Configured <= 0)) => (false xor (Commanded_Flow_Rate = 0)));,     
infusion,     p5,     Faulty_Prop5-LOR-0-4-ROR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     632.283,     623.607,     546.179,     77.428,     58,     59,     9.416,     1.312,     p1 = ((System_On or (Commanded_Flow_Rate = 0)) and ((Configured > 0) or (Commanded_Flow_Rate = Configured)));,     
infusion,     p5,     Faulty_Prop5-LOR-1--1-ROR-1-2,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     16.678,     16.528,     5.834,     10.694,     8,     8,     0.729,     1.336,     p1 = (((not System_On) or (Configured <= 0)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-LOR-1-0-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     11,     36.964,     36.634,     12.981,     23.653,     20,     20,     0.649,     1.182,     p1 = (((Configured >= 1) => (not System_On)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-0-2-ROR-0-8,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     986.573,     973.792,     880.236,     93.556,     66,     67,     13.336,     1.396,     p1 = (((not System_On) or (Configured < 1)) => (false xor (Commanded_Flow_Rate = 0)));,     
infusion,     p5,     Faulty_Prop5-LOR-1-0-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     45.851,     45.147,     18.765,     26.382,     19,     19,     0.987,     1.388,     p1 = ((not (Configured < 2)) => (Commanded_Flow_Rate >= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-0--1-ROR-0--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     169.612,     165.887,     113.577,     52.31,     37,     38,     3.069,     1.376,     p1 = (((Commanded_Flow_Rate < 0) xor System_On) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= 1)));,     
infusion,     p5,     Faulty_Prop5-ROR-0-2-ROR-0-5,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     733.892,     723.48,     635.819,     87.661,     61,     62,     10.423,     1.413,     p1 = (((Commanded_Flow_Rate < 1) xor false) or ((Configured > 0) and System_On));,     
infusion,     p5,     Faulty_Prop5-LOR-0-1-LOR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     981.099,     968.724,     878.228,     90.496,     66,     67,     13.306,     1.35,     p1 = ((System_On => (Configured < 1)) => ((Commanded_Flow_Rate >= 1) xor (Commanded_Flow_Rate >= 0)));,     
infusion,     p5,     Faulty_Prop5-ROR-0-0-ROR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     1456.536,     1439.389,     1328.02,     111.369,     79,     80,     16.81,     1.392,     p1 = ((System_On and (Configured >= 1)) or ((Commanded_Flow_Rate < 1) and (Commanded_Flow_Rate = 0)));,     
infusion,     p5,     Faulty_Prop5-ROR-0-3-ROR-0-4,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     5,     618.965,     611.846,     540.037,     71.809,     53,     54,     10.189,     1.329,     p1 = ((System_On => (Configured = 0)) => ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= 0)));,     
infusion,     p5,     Faulty_Prop5-LOR-1-1-ROR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     32.814,     32.413,     12.4,     20.013,     14,     14,     0.885,     1.429,     p1 = (((not System_On) or (Configured = 0)) => (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-LOR-0-1-ROR-0--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     507.361,     500.289,     431.778,     68.511,     49,     50,     8.811,     1.37,     p1 = (((Configured >= 1) and System_On) or ((Commanded_Flow_Rate = 0) xor false));,     
infusion,     p5,     Faulty_Prop5-LOR-0-3-ROR-0-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     906.371,     895.01,     805.565,     89.445,     64,     65,     12.586,     1.376,     p1 = (((Commanded_Flow_Rate <= 0) or (Commanded_Flow_Rate <= 0)) or (System_On and (Configured >= 1)));,     
