infusion,     p7,     Faulty_Prop7-ROR-1-4-ROR-2-5,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     524.457,     519.265,     200.497,     318.768,     264,     264,     0.759,     1.207,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-0-1-ROR-0-5,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     34.583,     34.233,     12.593,     21.64,     16,     16,     0.787,     1.352,     p1 = ((Current_System_Mode = 5) xor (Current_System_Mode <= 8));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-5,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     51.742,     51.178,     20.49,     30.688,     23,     23,     0.89,     1.334,     p1 = ((Current_System_Mode <= 8) xor (Current_System_Mode = 5));,     
infusion,     p7,     Faulty_Prop7-ROR-1-4-ROR-2-5,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     493.722,     488.996,     190.784,     298.212,     264,     264,     0.722,     1.129,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-0-1-ROR-0-5,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     35.249,     34.926,     12.806,     22.12,     16,     16,     0.8,     1.382,     p1 = ((Current_System_Mode = 5) xor (Current_System_Mode <= 8));,     
infusion,     p7,     Faulty_Prop7-ROR-1-4-ROR-2-8,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     495.211,     490.318,     190.597,     299.721,     264,     264,     0.721,     1.135,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-1-3-ROR-2-5,     true,    0,    TRUE_FOR_MAX_STEPS,     256,     447.397,     443.718,     151.904,     291.814,     260,     260,     0.584,     1.122,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-1-1-ROR-2-4,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     99.3,     97.716,     42.009,     55.707,     35,     36,     1.2,     1.547,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     29.358,     29.114,     11.399,     17.715,     13,     13,     0.876,     1.362,     p1 = ((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode > 1));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0--1,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     32.528,     32.247,     11.72,     20.527,     13,     13,     0.901,     1.579,     p1 = ((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode > 1));,     
infusion,     p7,     Faulty_Prop7-ROR-1-5-ROR-2-4,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     557.384,     551.972,     214.721,     337.251,     264,     264,     0.813,     1.277,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-1-3-ROR-2-6,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     88.898,     87.452,     34.865,     52.587,     35,     36,     0.996,     1.46,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
