infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     28.417,     28.087,     9.598,     18.489,     13,     13,     0.738,     1.422,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0-1-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     28.38,     28.102,     9.786,     18.316,     13,     13,     0.752,     1.408,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0-1-ROR-0-0,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     32.104,     31.803,     11.295,     20.508,     14,     14,     0.806,     1.464,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-ROR-0-0-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     29.88,     29.655,     10.574,     19.081,     14,     14,     0.755,     1.362,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0-1-ROR-0-6,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     27.743,     27.523,     9.461,     18.062,     13,     13,     0.727,     1.389,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     30.787,     30.552,     10.768,     19.784,     14,     14,     0.769,     1.413,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-ROR-0-0-ROR-0-8,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     30.102,     29.858,     10.169,     19.689,     14,     14,     0.726,     1.406,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-ROR-0-2-ROR-0-6,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     30.244,     30.014,     10.393,     19.621,     14,     14,     0.742,     1.401,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-6,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     28.717,     28.477,     9.884,     18.593,     13,     13,     0.76,     1.43,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-ROR-0-1-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     29.722,     29.497,     10.472,     19.025,     13,     13,     0.805,     1.463,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-3,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     34.403,     34.163,     12.46,     21.703,     14,     14,     0.89,     1.55,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-5,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     32.014,     31.741,     12.151,     19.59,     13,     13,     0.934,     1.506,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-7,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     30.151,     29.907,     10.59,     19.317,     13,     13,     0.814,     1.485,     p1 = ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode > 0));,     
infusion,     p7,     Faulty_Prop7-ROR-0-2-ROR-0-4,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     32.733,     32.484,     11.393,     21.091,     14,     14,     0.813,     1.506,     p1 = ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0));,     
