gpca,     p10,     Faulty_GPCA_Prop10-LOR-1-0-ROR-1-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     23.168,     22.989,     3.119,     19.87,     5,     5,     0.623,     3.974,     p1 = (System_On or (out_Is_Audio_Disabled >= 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-1-0-ROR-1-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     14.806,     14.51,     3.538,     10.972,     6,     6,     0.589,     1.828,     p1 = (System_On or (out_Is_Audio_Disabled >= 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-1-0-ROR-1-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     14.577,     14.31,     3.625,     10.685,     6,     6,     0.604,     1.78,     p1 = (System_On or (out_Is_Audio_Disabled >= 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-1-0-ROR-1--1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     22.505,     22.292,     2.925,     19.367,     5,     5,     0.585,     3.873,     p1 = (System_On or (out_Is_Audio_Disabled >= 0));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-1-0-ROR-1--1,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     22.918,     22.695,     3.122,     19.573,     5,     5,     0.624,     3.914,     p1 = (System_On or (out_Is_Audio_Disabled >= 0));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3-LOR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     46.075,     45.116,     18.406,     26.71,     12,     12,     1.533,     2.225,     p1 = (((((not In_Therapy) xor In_Therapy) and (System_On xor System_On)) => ((Reservoir_Empty and (not In_Therapy)) xor ((not In_Therapy) xor (not In_Therapy)))) and (out_Highest_Level_Alarm <= 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3-LOR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     45.015,     44.005,     17.605,     26.4,     12,     12,     1.467,     2.2,     p1 = (((((not In_Therapy) xor In_Therapy) and (System_On xor System_On)) => ((Reservoir_Empty and (not In_Therapy)) xor ((not In_Therapy) xor (not In_Therapy)))) and (out_Highest_Level_Alarm <= 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-6-ROR-3--1,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     26.175,     25.69,     7.05,     18.64,     9,     9,     0.783,     2.071,     p1 = ((((System_On xor System_On) xor ((not In_Therapy) xor (not In_Therapy))) and (((not In_Therapy) xor Reservoir_Empty) => (In_Therapy => (not System_On)))) or (out_Highest_Level_Alarm < 5));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-1-LOR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     37.21,     36.44,     14.981,     21.459,     11,     11,     1.361,     1.95,     p1 = ((((System_On and System_On) xor (System_On => (not System_On))) and (((not Reservoir_Empty) xor In_Therapy) => (Reservoir_Empty xor (not In_Therapy)))) and (out_Highest_Level_Alarm <= 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-2-5-LOR-3-7,     false,    0,    MINIMAL_FORALL_UNKNOWN,     61,     829.417,     827.378,     47.198,     780.18,     65,     66,     0.726,     11.82,     p1 = (((((not In_Therapy) xor (not In_Therapy)) xor ((not In_Therapy) xor (not In_Therapy))) and Reservoir_Empty) xor (out_Highest_Level_Alarm < 194));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-4-LOR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     41.056,     40.368,     14.062,     26.306,     10,     10,     1.406,     2.63,     p1 = (((((not System_On) => (not In_Therapy)) => ((not Reservoir_Empty) xor System_On)) => (((not System_On) and (not System_On)) => ((not Reservoir_Empty) xor Reservoir_Empty))) and (out_Highest_Level_Alarm >= 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-LOR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     18.496,     18.298,     4.223,     14.075,     5,     5,     0.844,     2.815,     p1 = ((((In_Therapy and (not System_On)) => ((not In_Therapy) and (not System_On))) => Air_In_Line) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-LOR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     16.754,     16.604,     3.815,     12.789,     5,     5,     0.763,     2.557,     p1 = ((((In_Therapy and (not System_On)) => ((not In_Therapy) and (not System_On))) => Air_In_Line) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-3-6-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     19.816,     19.641,     5.442,     14.199,     5,     5,     1.088,     2.839,     p1 = (((System_On and In_Therapy) and Air_In_Line) or (out_Highest_Level_Alarm < 5));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-2-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     8,     55.57,     54.969,     13.908,     41.061,     14,     14,     0.993,     2.932,     p1 = (((((not In_Therapy) xor (not In_Therapy)) => ((not In_Therapy) xor (not In_Therapy))) or Air_In_Line) => (out_Highest_Level_Alarm < 5));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-3-3-ROR-3-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     15.757,     15.657,     3.953,     11.704,     4,     4,     0.988,     2.926,     p1 = (((System_On and In_Therapy) => Air_In_Line) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-3-LOR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     24.799,     24.547,     6.855,     17.692,     6,     6,     1.142,     2.948,     p1 = (((((not In_Therapy) => (not In_Therapy)) => ((not In_Therapy) and In_Therapy)) => Air_In_Line) and (out_Highest_Level_Alarm <= 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2-0-ROR-5-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     33.375,     32.966,     7.041,     25.925,     9,     9,     0.782,     2.88,     p1 = ((((((not System_On) xor (not Reservoir_Empty)) and ((not System_On) xor Reservoir_Empty)) or (((not Reservoir_Empty) or System_On) or (In_Therapy and (not Reservoir_Empty)))) and (Volume_Infused = VTBI_High)) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-0-ROR-3--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     11.693,     11.582,     2.915,     8.667,     5,     5,     0.583,     1.733,     p1 = ((((((not In_Therapy) => In_Therapy) and ((not In_Therapy) or System_On)) and Reservoir_Empty) and (Volume_Infused < VTBI_High)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-1-ROR-1-6,     false,    3,    MINIMAL_MAX_LOOP_REACHED,     3,     1418.796,     1370.691,     683.654,     687.037,     71,     72,     9.628,     9.542,     p1 = ((((System_On xor false) and (Reservoir_Empty and System_On)) and ((System_On xor (not In_Therapy)) and (System_On and System_On))) => (out_Highest_Level_Alarm > 3));,     
