gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2-ROR-1-3,     false,    3,    TRUE_FOR_MAX_STEPS,     1,     78.445,     78.054,     8.053,     70.001,     8,     8,     1.006,     8.75,     p1 = ((((Reservoir_Empty => System_On) or ((not In_Therapy) => (not In_Therapy))) and (((not In_Therapy) and (not In_Therapy)) xor ((not In_Therapy) and (not In_Therapy)))) => (out_Highest_Level_Alarm <> 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-2--1-ROR-2--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     15.906,     15.792,     2.916,     12.876,     5,     5,     0.583,     2.575,     p1 = ((((In_Therapy or (not In_Therapy)) => (In_Therapy and (not In_Therapy))) and Reservoir_Empty) => (out_Highest_Level_Alarm < 4));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-ROR-1-0,     false,    3,    MINIMAL_FORALL_UNKNOWN,     1,     676.9,     676.52,     9.67,     666.85,     6,     7,     1.611,     95.264,     p1 = (((((not Air_In_Line) and In_Therapy) => (In_Therapy => In_Therapy)) and ((In_Therapy => (not Air_In_Line)) and (Air_In_Line and In_Therapy))) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-ROR-1-1,     false,    3,    TRUE_FOR_MAX_STEPS,     1,     42.964,     42.362,     15.588,     26.774,     9,     9,     1.732,     2.974,     p1 = ((((In_Therapy or Air_In_Line) => ((not In_Therapy) xor (not In_Therapy))) and (((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) and In_Therapy))) => (out_Highest_Level_Alarm > 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-2-LOR-1-6,     false,    3,    MINIMAL_FORALL_UNKNOWN,     1,     645.086,     644.645,     8.099,     636.546,     7,     8,     1.157,     79.568,     p1 = ((((System_On => Air_In_Line) and (System_On or In_Therapy)) => ((System_On => Air_In_Line) => ((not In_Therapy) => (not In_Therapy)))) or (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-4-LOR-1-6,     false,    3,    MINIMAL_FORALL_UNKNOWN,     1,     608.909,     608.773,     2.215,     606.558,     3,     4,     0.738,     151.639,     p1 = ((((In_Therapy or (not In_Therapy)) xor ((not In_Therapy) => (not In_Therapy))) => ((In_Therapy and (not In_Therapy)) and ((not In_Therapy) and (not In_Therapy)))) or (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-ROR-2--1,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     53.679,     53.502,     5.837,     47.665,     5,     5,     1.167,     9.533,     p1 = ((((System_On and (not System_On)) and ((not System_On) => (not System_On))) and Air_In_Line) => (out_Highest_Level_Alarm < 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-LOR-1-6,     false,    3,    MINIMAL_FORALL_UNKNOWN,     1,     610.405,     610.221,     2.73,     607.491,     3,     4,     0.91,     151.872,     p1 = (((((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) and In_Therapy)) => (((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) and (not In_Therapy)))) or (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-ROR-1-3,     false,    3,    TRUE_FOR_MAX_STEPS,     1,     202.128,     201.69,     7.957,     193.733,     8,     8,     0.994,     24.216,     p1 = (((((not Air_In_Line) xor (not In_Therapy)) and ((not Air_In_Line) xor In_Therapy)) and (((not Air_In_Line) and (not Air_In_Line)) => ((not Air_In_Line) and System_On))) => (out_Highest_Level_Alarm <> 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-3-ROR-1-0,     false,    3,    TRUE_FOR_MAX_STEPS,     1,     69.541,     68.979,     13.022,     55.957,     9,     9,     1.446,     6.217,     p1 = ((((Air_In_Line or In_Therapy) => ((not System_On) and (not Air_In_Line))) and (((not In_Therapy) and System_On) and (System_On and (not System_On)))) => (out_Highest_Level_Alarm <= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-4-ROR-1-0,     false,    3,    TRUE_FOR_MAX_STEPS,     1,     115.769,     115.221,     15.591,     99.63,     8,     8,     1.948,     12.453,     p1 = (((((not System_On) => (not System_On)) and (Air_In_Line and (not Air_In_Line))) and (((not Air_In_Line) => (not System_On)) and ((not System_On) xor (not Air_In_Line)))) => (out_Highest_Level_Alarm <= 3));,     
