infusion,     p1,     Faulty_Prop1-ROR-7-29-ROR-12-33,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.811,     5.744,     2.511,     3.233,     2,     2,     1.255,     1.616,     p1 = (((((((false or (Current_System_Mode = 1)) or (Current_System_Mode = 2)) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) or (Current_System_Mode = 7)) or (Current_System_Mode <> 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-12-12-ROR-13-36,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     15.367,     15.268,     4.636,     10.632,     6,     6,     0.772,     1.772,     p1 = ((((((((Current_System_Mode = 0) or (Current_System_Mode = 1)) or (Current_System_Mode = 2)) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) => (Current_System_Mode <= 7)) or (Current_System_Mode > 0)) or (Current_System_Mode > 8));,     
infusion,     p3,     Faulty_Prop3-ROR-1-8,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     24.892,     24.601,     8.856,     15.745,     13,     13,     0.681,     1.211,     p1 = (false => (Commanded_Flow_Rate <> 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-4,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     11.927,     11.812,     3.621,     8.191,     7,     7,     0.517,     1.17,     p1 = ((System_On and false) => (Commanded_Flow_Rate < 0));,     
infusion,     p3,     Faulty_Prop3-ROR-1-6,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     22.7,     22.43,     8.068,     14.362,     13,     13,     0.62,     1.104,     p1 = (false => (Commanded_Flow_Rate > 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     11.51,     11.405,     3.827,     7.578,     7,     7,     0.546,     1.082,     p1 = ((System_On and false) => (Commanded_Flow_Rate <> 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-4,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     10.87,     10.71,     3.628,     7.082,     7,     7,     0.518,     1.011,     p1 = ((System_On and false) => (Commanded_Flow_Rate < 0));,     
infusion,     p3,     Faulty_Prop3-ROR-1-8,     false,    1,    TRUE_FOR_MAX_STEPS,     1,     20.713,     20.268,     7.793,     12.475,     13,     13,     0.599,     0.959,     p1 = (false => (Commanded_Flow_Rate <> 0));,     
infusion,     p3,     Faulty_Prop3-ROR-2-4,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     10.65,     10.498,     3.627,     6.871,     7,     7,     0.518,     0.981,     p1 = ((System_On and false) => (Commanded_Flow_Rate < 0));,     
infusion,     p4,     Faulty_Prop4-ROR-2-0-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     10.775,     10.684,     3.416,     7.268,     7,     7,     0.488,     1.038,     p1 = ((System_On and false) => (Commanded_Flow_Rate <> Flow_Rate_KVO));,     
infusion,     p6,     Faulty_Prop6-LOR-2-14-ROR-7-16,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     15.704,     15.514,     5.927,     9.587,     7,     7,     0.846,     1.369,     p1 = ((System_On and false) => (((((Current_System_Mode > 1) or (Current_System_Mode = 2)) or (Current_System_Mode > 6)) or (Current_System_Mode = 7)) and (Current_System_Mode = 8)));,     
infusion,     p6,     Faulty_Prop6-ROR-9-20-ROR-9-28,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     7.209,     7.146,     2.509,     4.637,     2,     2,     1.254,     2.318,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => (((((Current_System_Mode = 1) or (Current_System_Mode = 2)) or (Current_System_Mode <= 8)) or (Current_System_Mode <= 7)) or (Current_System_Mode <> 8)));,     
infusion,     p6,     Faulty_Prop6-LOR-2-4-ROR-11-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     19.049,     18.891,     5.844,     13.047,     7,     7,     0.834,     1.863,     p1 = ((System_On and false) xor (((((Current_System_Mode <> 1) or (Current_System_Mode = 2)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode < 2)));,     
infusion,     p8,     Faulty_Prop8-ROR-2-8-ROR-2-11,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     13.428,     13.306,     4.322,     8.984,     7,     7,     0.617,     1.283,     p1 = ((System_On and false) => ((not (Current_System_Mode <> 3)) and (not (Current_System_Mode > 4))));,     
