infusion,     p10,     Faulty_Prop10-LOR-2-0-LOR-3-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     35.576,     35.128,     16.101,     19.027,     11,     11,     1.463,     1.729,     p1 = ((System_On => (Current_System_Mode > 0)) and (Commanded_Flow_Rate >= 0));,     
infusion,     p10,     Faulty_Prop10-ROR-1-0-ROR-1-7,     false,    2,    TRUE_FOR_MAX_STEPS,     3,     73.535,     72.68,     46.193,     26.487,     15,     15,     3.079,     1.765,     p1 = ((((Current_System_Mode = 2) xor (Current_System_Mode <= 8)) => ((Current_System_Mode > 8) xor (Current_System_Mode = 5))) => (Commanded_Flow_Rate >= Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-2-1-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     16.672,     16.518,     6.132,     10.386,     8,     8,     0.766,     1.298,     p1 = ((System_On xor (Current_System_Mode >= 1)) => false);,     
infusion,     p10,     Faulty_Prop10-LOR-3-3-ROR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     12.917,     12.81,     4.522,     8.288,     6,     6,     0.753,     1.381,     p1 = ((System_On and (Current_System_Mode = 2)) or (Commanded_Flow_Rate >= 0));,     
infusion,     p10,     Faulty_Prop10-LOR-2-1-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.759,     8.661,     3.211,     5.45,     4,     4,     0.802,     1.362,     p1 = ((System_On xor (Current_System_Mode > 0)) => (Commanded_Flow_Rate <> Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-1-3-ROR-1-1,     false,    2,    TRUE_FOR_MAX_STEPS,     5,     64.146,     63.519,     38.074,     25.445,     17,     17,     2.239,     1.496,     p1 = ((((Current_System_Mode >= 6) xor (Current_System_Mode = 2)) xor ((Current_System_Mode <= 4) xor (Current_System_Mode > 8))) or (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-2-0-LOR-3-4,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     96.994,     95.522,     41.887,     53.635,     37,     38,     1.132,     1.411,     p1 = ((System_On => (Current_System_Mode <= 8)) xor false);,     
infusion,     p10,     Faulty_Prop10-LOR-3--1-LOR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     14.335,     14.208,     4.922,     9.286,     7,     7,     0.703,     1.326,     p1 = ((System_On or (Current_System_Mode = 2)) or (Commanded_Flow_Rate = 0));,     
infusion,     p10,     Faulty_Prop10-LOR-1-1-LOR-1-3,     false,    2,    TRUE_FOR_MAX_STEPS,     4,     31.15,     30.742,     12.384,     18.358,     13,     13,     0.952,     1.412,     p1 = ((((Current_System_Mode >= 0) xor (Current_System_Mode > 8)) and (System_On xor (Current_System_Mode < 1))) or (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-2-3-ROR-3--1,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     36.891,     36.45,     14.903,     21.547,     15,     15,     0.993,     1.436,     p1 = ((System_On and (Current_System_Mode >= 2)) or (Commanded_Flow_Rate <= 0));,     
infusion,     p10,     Faulty_Prop10-LOR-2-1-ROR-3--1,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     19.647,     19.451,     6.937,     12.514,     8,     8,     0.867,     1.564,     p1 = ((System_On xor (Current_System_Mode >= 1)) => false);,     
infusion,     p10,     Faulty_Prop10-LOR-3--1-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     27.122,     26.833,     10.763,     16.07,     12,     12,     0.896,     1.339,     p1 = ((System_On or (Current_System_Mode <> 2)) => (Commanded_Flow_Rate >= 0));,     
infusion,     p10,     Faulty_Prop10-ROR-1-1-ROR-1-6,     false,    2,    TRUE_FOR_MAX_STEPS,     4,     60.807,     59.874,     31.016,     28.858,     20,     20,     1.55,     1.442,     p1 = ((((Current_System_Mode = 5) xor (Current_System_Mode > 8)) or ((not System_On) xor (Current_System_Mode = 0))) => (Commanded_Flow_Rate > Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2-0-ROR-2-6,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     14.436,     14.317,     4.421,     9.896,     7,     7,     0.631,     1.413,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate > Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-LOR-1-3-LOR-3-2,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     82.082,     79.91,     44.435,     35.475,     26,     26,     1.709,     1.364,     p1 = (((System_On xor (Current_System_Mode <= 0)) and ((Current_System_Mode >= 0) and (Current_System_Mode <= 8))) and (Commanded_Flow_Rate >= 0));,     
infusion,     p10,     Faulty_Prop10-LOR-2-1-ROR-2-2,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.767,     8.671,     3.111,     5.56,     4,     4,     0.777,     1.39,     p1 = ((System_On xor (Current_System_Mode >= 1)) => (Commanded_Flow_Rate = Flow_Rate_Basal));,     
infusion,     p10,     Faulty_Prop10-ROR-2-0-ROR-2-4,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     14.539,     14.43,     4.527,     9.903,     7,     7,     0.646,     1.414,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate < Flow_Rate_Basal));,     
