infusion,     p5,     Faulty_Prop5-LOR-1-3-ROR-3-5,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     4,     259.285,     247.3,     158.801,     88.499,     58,     59,     2.737,     1.499,     p1 = (((System_On xor false) and (System_On and (Configured >= 1))) or (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-1--1-ROR-1-5,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     131.187,     126.524,     61.664,     64.86,     39,     40,     1.581,     1.621,     p1 = ((((not System_On) or (Configured = 0)) xor (false xor (Configured > 255))) => (Commanded_Flow_Rate <= 0));,     
infusion,     p5,     Faulty_Prop5-ROR-1-3-ROR-1-6,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     84.293,     80.733,     31.925,     48.808,     34,     35,     0.938,     1.394,     p1 = ((false xor (false xor (Configured < 0))) => (Commanded_Flow_Rate > 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-1-ROR-3-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     18.142,     17.947,     6.828,     11.119,     7,     7,     0.975,     1.588,     p1 = ((System_On and (Configured >= 1)) => (Commanded_Flow_Rate <= 255));,     
infusion,     p5,     Faulty_Prop5-LOR-1-3-ROR-3-2,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     4,     224.929,     213.447,     128.931,     84.516,     56,     57,     2.302,     1.482,     p1 = ((((Configured >= 1) and System_On) or ((not System_On) and System_On)) or (Commanded_Flow_Rate <= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-2--1-ROR-3-6,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.857,     8.766,     3.011,     5.755,     4,     4,     0.752,     1.438,     p1 = ((System_On or false) => (Commanded_Flow_Rate >= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-2-3-ROR-2-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.344,     8.259,     2.71,     5.549,     4,     4,     0.677,     1.387,     p1 = ((System_On and (Configured > 0)) or (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-LOR-2-3-ROR-3-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.067,     8.982,     3.112,     5.87,     4,     4,     0.778,     1.467,     p1 = ((System_On and (Configured >= 254)) or (Commanded_Flow_Rate >= 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-3-ROR-3-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.169,     9.076,     3.311,     5.765,     4,     4,     0.827,     1.441,     p1 = ((System_On and (Configured <> 1)) => (Commanded_Flow_Rate >= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-1--1-LOR-3-2,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     111.754,     106.729,     48.169,     58.56,     36,     37,     1.338,     1.582,     p1 = (true and (Commanded_Flow_Rate <= 255));,     
infusion,     p5,     Faulty_Prop5-LOR-1-3-ROR-3--1,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     3,     243.362,     231.303,     144.211,     87.092,     57,     58,     2.53,     1.501,     p1 = ((((Configured = 0) or (not System_On)) xor ((Configured >= 0) or (Configured = 0))) or (Commanded_Flow_Rate <= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-1-3-ROR-3-8,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     4,     179.617,     172.017,     97.322,     74.695,     48,     49,     2.027,     1.524,     p1 = ((((Configured >= 1) xor (not System_On)) and (not (not System_On))) or (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3--1-ROR-3-6,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.463,     9.365,     3.311,     6.054,     4,     4,     0.827,     1.513,     p1 = ((System_On and (Configured <= 1)) => (Commanded_Flow_Rate <= 255));,     
infusion,     p5,     Faulty_Prop5-LOR-1-3-ROR-1--1,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     130.022,     125.31,     61.229,     64.081,     40,     41,     1.53,     1.562,     p1 = (((System_On and (Configured >= 1)) xor false) or (Commanded_Flow_Rate = 0));,     
infusion,     p5,     Faulty_Prop5-ROR-3-3-ROR-3-5,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     8.757,     8.679,     3.019,     5.66,     4,     4,     0.754,     1.415,     p1 = ((System_On and (Configured <> 1)) => (Commanded_Flow_Rate <= 255));,     
infusion,     p5,     Faulty_Prop5-LOR-1-4-ROR-1-4,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     80.459,     77.342,     31.021,     46.321,     35,     36,     0.886,     1.286,     p1 = (true xor (Commanded_Flow_Rate < 0));,     
infusion,     p5,     Faulty_Prop5-LOR-2-4-ROR-3-5,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     86.841,     85.622,     35.838,     49.784,     38,     39,     0.943,     1.276,     p1 = ((System_On and (Configured < 0)) xor (Commanded_Flow_Rate <= 255));,     
infusion,     p5,     Faulty_Prop5-LOR-3--1-ROR-3-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.887,     9.796,     3.213,     6.583,     5,     5,     0.642,     1.316,     p1 = ((System_On or (Configured < 1)) => (Commanded_Flow_Rate >= 0));,     
infusion,     p5,     Faulty_Prop5-LOR-2-0-ROR-2-1,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     92.599,     91.886,     31.62,     60.266,     36,     37,     0.878,     1.628,     p1 = ((System_On => false) => (Commanded_Flow_Rate = 0));,     
