infusion,     p8,     Faulty_Prop8-ROR-3-3-ROR-3-5,     false,    2,    TRUE_FOR_MAX_STEPS,     3,     63.078,     62.708,     43.611,     19.097,     12,     12,     3.634,     1.591,     p1 = ((System_On and (Highest_Level_Alarm <> 2)) => (((Current_System_Mode = 5) xor (Current_System_Mode <= 8)) and ((Current_System_Mode > 7) or (Current_System_Mode >= 1))));,     
infusion,     p8,     Faulty_Prop8-ROR-1-7-ROR-6-10,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     173.785,     172.966,     150.417,     22.549,     15,     15,     10.027,     1.503,     p1 = ((not (false xor System_On)) => ((not (Current_System_Mode >= 3)) and (Current_System_Mode = 0)));,     
infusion,     p8,     Faulty_Prop8-ROR-1-1-ROR-6-6,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     96.02,     95.314,     73.799,     21.515,     15,     15,     4.919,     1.434,     p1 = ((((Highest_Level_Alarm >= 4) xor System_On) xor ((Highest_Level_Alarm = 4) xor (Highest_Level_Alarm <= 4))) => ((not (Current_System_Mode > 3)) and (Current_System_Mode = 0)));,     
infusion,     p8,     Faulty_Prop8-LOR-3-3-ROR-3-8,     false,    2,    TRUE_FOR_MAX_STEPS,     3,     68.364,     67.931,     46.727,     21.204,     13,     13,     3.594,     1.631,     p1 = ((System_On and (Highest_Level_Alarm = 2)) or ((false xor (Current_System_Mode <= 5)) xor ((Current_System_Mode >= 5) xor (Current_System_Mode > 8))));,     
infusion,     p8,     Faulty_Prop8-ROR-1-1-LOR-5-7,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     48.462,     47.632,     21.992,     25.64,     17,     17,     1.293,     1.508,     p1 = (((false xor System_On) => ((Highest_Level_Alarm >= 2) xor false)) => ((not (Current_System_Mode <= 8)) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-1--1-LOR-4-7,     false,    0,    TRUE_FOR_MAX_STEPS,     5,     128.923,     127.96,     34.911,     93.049,     19,     19,     1.837,     4.897,     p1 = (((false xor System_On) => ((Highest_Level_Alarm > 2) and (Highest_Level_Alarm <= 4))) => ((Current_System_Mode >= 8) xor (not (Current_System_Mode = 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-2-0-ROR-6-9,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     20.164,     19.981,     6.738,     13.243,     10,     10,     0.673,     1.324,     p1 = ((System_On => false) => ((not (Current_System_Mode = 3)) and (Current_System_Mode <= 0)));,     
infusion,     p8,     Faulty_Prop8-ROR-1-6-ROR-7-10,     false,    0,    TRUE_FOR_MAX_STEPS,     5,     41.884,     41.423,     24.488,     16.935,     14,     14,     1.749,     1.209,     p1 = ((false xor ((not System_On) and (not System_On))) => ((not (Current_System_Mode > 3)) and (not (Current_System_Mode > 0))));,     
infusion,     p8,     Faulty_Prop8-LOR-6-7-ROR-6-7,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     9.888,     9.789,     3.718,     6.071,     4,     4,     0.929,     1.517,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((not (Current_System_Mode >= 3)) xor (Current_System_Mode = 8)));,     
infusion,     p8,     Faulty_Prop8-LOR-4-6-ROR-4-11,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     8.826,     8.756,     2.813,     5.943,     4,     4,     0.703,     1.485,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => ((Current_System_Mode > 8) => (not (Current_System_Mode > 4))));,     
infusion,     p8,     Faulty_Prop8-LOR-2-1-ROR-6-13,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     25.001,     24.763,     9.484,     15.279,     10,     10,     0.948,     1.527,     p1 = ((System_On xor (Highest_Level_Alarm <= 3)) => ((not (Current_System_Mode = 3)) and (Current_System_Mode >= 0)));,     
