tcas,     p1,     Prop1-LOR-2-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     11.806,     11.786,     5.142,     6.644,     5,     5,     1.028,     1.328,     p1 = (((alim_res_s <= Up_Separation_s) => (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s <> 2));,     
tcas,     p1,     Prop1-ROR-3-13,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     19.203,     19.164,     8.386,     10.778,     8,     8,     1.048,     1.347,     p1 = (((Up_Separation_s < alim_res_s) and (alim_res_s = 401)) => (result_alt_sep_test_s = 2));,     
tcas,     p1,     Prop1-ROR-3-12,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     13.355,     13.329,     5.947,     7.382,     6,     6,     0.991,     1.23,     p1 = (((Up_Separation_s < alim_res_s) and (alim_res_s <= 399)) => (result_alt_sep_test_s >= 2));,     
tcas,     p1,     Prop1-ROR-1-13,     false,    1,    TRUE_FOR_MAX_STEPS,     4,     56.264,     55.801,     29.414,     26.387,     22,     22,     1.337,     1.199,     p1 = (((alim_res_s > 640) xor (alim_res_s = 740)) => (result_alt_sep_test_s = 2));,     
tcas,     p1,     Prop1-LOR-1-3,     false,    1,    TRUE_FOR_MAX_STEPS,     3,     34.871,     34.637,     18.24,     16.397,     18,     18,     1.013,     0.91,     p1 = (((alim_res_s > 399) xor (alim_res_s = 739)) or (result_alt_sep_test_s <> 2));,     
tcas,     p1,     Prop1-ROR-2-11,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     28.411,     28.336,     13.242,     15.094,     14,     14,     0.945,     1.078,     p1 = (((alim_res_s <= 399) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s > 2));,     
tcas,     p1,     Prop1-ROR-2-13,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     16.475,     16.449,     7.463,     8.986,     8,     8,     0.932,     1.123,     p1 = (((alim_res_s = 401) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s = 2));,     
tcas,     p1,     Prop1-ROR-2-12,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     28.327,     28.269,     13.631,     14.638,     14,     14,     0.973,     1.045,     p1 = (((alim_res_s <= 399) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s >= 2));,     
tcas,     p1,     Prop1-LOR-1-3,     false,    1,    TRUE_FOR_MAX_STEPS,     3,     40.819,     40.533,     21.257,     19.276,     18,     18,     1.18,     1.07,     p1 = (((alim_res_s > 399) xor (alim_res_s = 739)) or (result_alt_sep_test_s <> 2));,     
tcas,     p1,     Prop1-LOR-4-0,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     6.477,     6.464,     2.72,     3.744,     4,     4,     0.68,     0.936,     p1 = (((Up_Separation_s < alim_res_s) => (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s <= 2));,     
tcas,     p1,     Prop1-LOR-4-3,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.464,     5.45,     2.416,     3.034,     4,     4,     0.604,     0.758,     p1 = (((Up_Separation_s < alim_res_s) and (Down_Separation_s < alim_res_s)) or (result_alt_sep_test_s <= 2));,     
