tcas,     p4,     Prop4-LOR-2-1-ROR-3-9,     false,    0,    TRUE_FOR_MAX_STEPS,     4,     18.281,     18.197,     9.05,     9.147,     18,     18,     0.502,     0.508,     p1 = (((alim_res_s < 640) xor (alim_res_s <= 500)) => (result_alt_sep_test_s < 2));,     
tcas,     p4,     Prop4-ROR-2-0-ROR-2-13,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     7.345,     7.333,     3.515,     3.818,     8,     8,     0.439,     0.477,     p1 = (((alim_res_s = 401) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s = 2));,     
tcas,     p4,     Prop4-ROR-2-4-ROR-3-9,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     3,     56.707,     55.947,     29.907,     26.04,     46,     47,     0.65,     0.554,     p1 = (((Up_Separation_s <= alim_res_s) and (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s < 2));,     
tcas,     p4,     Prop4-LOR-1-4-ROR-4-13,     false,    0,    MINIMAL_EXISTS_UKNOWN,     7,     2085.289,     2066.66,     2013.148,     53.512,     91,     91,     22.122,     0.588,     p1 = ((((alim_res_s = 500) xor (alim_res_s = 400)) xor ((alim_res_s = 640) xor (alim_res_s = 740))) xor false);,     
tcas,     p4,     Prop4-ROR-4-2-ROR-4-7,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     4.331,     4.316,     2.206,     2.11,     4,     4,     0.551,     0.527,     p1 = (((Up_Separation_s = alim_res_s) and (Down_Separation_s = alim_res_s)) => (result_alt_sep_test_s <= 2));,     
tcas,     p4,     Prop4-LOR-2-4-ROR-4-9,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     10.886,     10.845,     6.022,     4.823,     9,     9,     0.669,     0.535,     p1 = (((alim_res_s <= 399) and (Down_Separation_s < alim_res_s)) xor (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-4-4-ROR-4-11,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     4.03,     4.016,     2.007,     2.009,     4,     4,     0.501,     0.502,     p1 = (((Up_Separation_s >= alim_res_s) and (Down_Separation_s <= alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-LOR-3--1-ROR-4-12,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     44.975,     44.456,     23.141,     21.315,     36,     37,     0.642,     0.576,     p1 = (((Up_Separation_s >= alim_res_s) or (Down_Separation_s <= alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-2-2-ROR-3-11,     false,    0,    TRUE_FOR_MAX_STEPS,     36,     60.154,     59.678,     32.147,     27.531,     53,     53,     0.606,     0.519,     p1 = (((alim_res_s > 400) and (alim_res_s <= 499)) => (result_alt_sep_test_s > 2));,     
tcas,     p4,     Prop4-LOR-4-1-ROR-4-13,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     4.355,     4.344,     2.208,     2.136,     4,     4,     0.552,     0.534,     p1 = (((Up_Separation_s >= alim_res_s) xor (Down_Separation_s < alim_res_s)) => (result_alt_sep_test_s >= 0));,     
tcas,     p4,     Prop4-ROR-3-1-ROR-4-6,     false,    0,    TRUE_FOR_MAX_STEPS,     3,     10.903,     10.863,     5.629,     5.234,     10,     10,     0.562,     0.523,     p1 = (((Up_Separation_s > alim_res_s) and (alim_res_s < 400)) => false);,     
tcas,     p4,     Prop4-LOR-3-3-ROR-3-7,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     10.789,     10.752,     5.522,     5.23,     9,     9,     0.613,     0.581,     p1 = (((Up_Separation_s >= alim_res_s) and (alim_res_s <= Down_Separation_s)) or (result_alt_sep_test_s <> 2));,     
tcas,     p4,     Prop4-LOR-1-0-ROR-1-13,     false,    2,    TRUE_FOR_MAX_STEPS,     8,     671.927,     667.934,     636.77,     31.164,     54,     54,     11.792,     0.577,     p1 = ((((alim_res_s <= 639) => (alim_res_s = 500)) xor ((alim_res_s <= 740) xor (alim_res_s = 400))) => (result_alt_sep_test_s = 2));,     
tcas,     p4,     Prop4-ROR-2-0-ROR-4-5,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     6.247,     6.23,     2.915,     3.315,     6,     6,     0.485,     0.552,     p1 = (((alim_res_s < 400) and (Down_Separation_s > alim_res_s)) => false);,     
tcas,     p4,     Prop4-ROR-1-5-ROR-1-11,     false,    2,    MINIMAL_EXISTS_UKNOWN,     15,     1811.897,     1796.474,     1739.758,     56.716,     104,     104,     16.728,     0.545,     p1 = ((((alim_res_s <= 740) => (alim_res_s = 500)) xor ((alim_res_s = 400) xor (alim_res_s < 640))) => (result_alt_sep_test_s > 2));,     
tcas,     p4,     Prop4-LOR-3-3-ROR-4-3,     false,    0,    TRUE_FOR_MAX_STEPS,     2,     9.89,     9.847,     5.122,     4.725,     9,     9,     0.569,     0.525,     p1 = (((Up_Separation_s <> alim_res_s) and false) or (result_alt_sep_test_s >= 0));,     
