gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     1424.841,     1414.319,     230.445,     1183.874,     45,     46,     5.121,     25.736,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) or (not System_On)) or ((not System_On) and (out_Is_Audio_Disabled > 6)));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-0-ROR-0-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     614.585,     605.545,     186.664,     418.881,     44,     45,     4.242,     9.308,     p1 = (((not System_On) or (not System_On)) or ((not System_On) xor (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-3,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     666.189,     658.493,     191.631,     466.862,     40,     41,     4.79,     11.386,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) and (Disable_Audio <= out_Is_Audio_Disabled)) or (System_On => (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     704.808,     696.304,     211.43,     484.874,     45,     46,     4.698,     10.54,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) xor false) or ((not System_On) xor false));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     710.988,     702.204,     224.558,     477.646,     45,     46,     4.99,     10.383,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) xor false) or ((not System_On) xor false));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     748.072,     738.846,     246.87,     491.976,     45,     46,     5.486,     10.695,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) xor false) or ((not System_On) xor false));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-0,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     713.995,     705.194,     231.81,     473.384,     45,     46,     5.151,     10.29,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) xor false) or ((not System_On) xor false));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-1-ROR-0--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     458.517,     452.229,     102.772,     349.457,     38,     39,     2.704,     8.96,     p1 = (((not System_On) and (not System_On)) or ((not System_On) xor (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0--1-ROR-0-3,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     636.213,     629.327,     186.189,     443.138,     40,     41,     4.654,     10.808,     p1 = (((Disable_Audio = out_Is_Audio_Disabled) and (Disable_Audio <= out_Is_Audio_Disabled)) or (System_On => (Disable_Audio = out_Is_Audio_Disabled)));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-0-ROR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     975.75,     967.288,     143.485,     823.803,     43,     44,     3.336,     18.722,     p1 = ((System_On and System_On) => ((Disable_Audio = out_Is_Audio_Disabled) and System_On));,     
gpca,     p10,     Faulty_GPCA_Prop10-LOR-0-1-ROR-0--1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     2,     461.334,     454.533,     116.436,     338.097,     38,     39,     3.064,     8.669,     p1 = (((not System_On) and (not System_On)) or ((not System_On) xor (Disable_Audio = out_Is_Audio_Disabled)));,     
