gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-3-LOR-0-6,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     629.077,     628.353,     7.837,     620.516,     7,     8,     1.119,     77.564,     p1 = true;,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1--1-LOR-3-1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     633.682,     632.637,     10.088,     622.549,     11,     12,     0.917,     51.879,     p1 = (((((not Reservoir_Empty) => In_Therapy) and ((not Reservoir_Empty) and (not System_On))) and ((In_Therapy or (not Reservoir_Empty)) xor (Reservoir_Empty xor (not System_On)))) => false);,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-0-3-LOR-0-6,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     625.854,     625.176,     7.07,     618.106,     7,     8,     1.01,     77.263,     p1 = true;,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1--1-ROR-3-1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     623.668,     623.329,     5.025,     618.304,     6,     7,     0.837,     88.329,     p1 = ((((System_On and (not Reservoir_Empty)) and (In_Therapy and (not In_Therapy))) and ((In_Therapy => (not In_Therapy)) or ((not Reservoir_Empty) and (not In_Therapy)))) => false);,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-2--1-ROR-3-0,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     640.523,     640.201,     7.575,     632.626,     7,     8,     1.082,     79.078,     p1 = (((((not In_Therapy) and In_Therapy) and ((not System_On) => (not System_On))) and Air_In_Line) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-LOR-0-5,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     636.702,     636.393,     4.524,     631.869,     4,     5,     1.131,     126.373,     p1 = true;,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-1-ROR-3--1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     615.881,     615.597,     4.835,     610.762,     5,     6,     0.967,     101.793,     p1 = (((((not Air_In_Line) xor (not Air_In_Line)) and (In_Therapy => (not In_Therapy))) or (((not System_On) => (not Air_In_Line)) xor ((not System_On) => (not Air_In_Line)))) => false);,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-1-LOR-1-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     612.575,     612.406,     3.221,     609.185,     4,     5,     0.805,     121.837,     p1 = ((((In_Therapy => In_Therapy) or (In_Therapy or (not In_Therapy))) and ((In_Therapy and (not In_Therapy)) and ((not In_Therapy) or (not In_Therapy)))) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-2-LOR-3-4,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     614.497,     614.197,     4.124,     610.073,     5,     6,     0.824,     101.678,     p1 = (((((not System_On) => (not System_On)) => ((not System_On) => In_Therapy)) and (((not In_Therapy) xor (not In_Therapy)) and ((not In_Therapy) and (not In_Therapy)))) => false);,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1-ROR-3-2,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     627.297,     626.746,     7.589,     619.157,     7,     8,     1.084,     77.394,     p1 = ((((In_Therapy and (not In_Therapy)) and (System_On xor In_Therapy)) and (((not In_Therapy) xor (not In_Therapy)) => ((not In_Therapy) => (not System_On)))) => (out_Highest_Level_Alarm > 1));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-2-ROR-3-2,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     627.99,     627.55,     6.85,     620.7,     6,     7,     1.141,     88.671,     p1 = (((((not In_Therapy) => (not In_Therapy)) xor ((not In_Therapy) and (not In_Therapy))) and (((not In_Therapy) => (not In_Therapy)) => (System_On and (not In_Therapy)))) => (out_Highest_Level_Alarm <= 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-2-0-ROR-4-2,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     135.339,     124.81,     42.088,     82.722,     34,     35,     1.237,     2.363,     p1 = ((((((not In_Therapy) => (not In_Therapy)) and (Reservoir_Empty and (not In_Therapy))) or ((Reservoir_Empty or (not In_Therapy)) xor (Reservoir_Empty and (not In_Therapy)))) and false) => (out_Highest_Level_Alarm >= 3));,     
