gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-1-LOR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     47.518,     46.163,     18.159,     28.004,     15,     15,     1.21,     1.866,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-1-LOR-0-4,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     880.056,     872.572,     115.968,     756.604,     28,     29,     4.141,     26.089,     p1 = ((((out_Highest_Level_Alarm = 0) xor (out_Highest_Level_Alarm > 4)) xor ((out_Highest_Level_Alarm < 0) and (out_Highest_Level_Alarm <= 5))) => (((out_Highest_Level_Alarm >= 2) xor (not System_On)) and (false xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-4-LOR-0-7,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1172.751,     1161.77,     176.615,     985.155,     29,     30,     6.09,     32.838,     p1 = (((not (out_Highest_Level_Alarm >= 2)) => (System_On => (out_Highest_Level_Alarm = 1))) and (((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 0)) xor ((not System_On) and (out_Highest_Level_Alarm = 0))));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-2-LOR-0-5,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     907.287,     894.33,     140.114,     754.216,     31,     32,     4.519,     23.569,     p1 = ((((out_Highest_Level_Alarm < 0) xor (out_Highest_Level_Alarm >= 5)) xor (System_On and (out_Highest_Level_Alarm = 0))) => (((not In_Therapy) xor (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm = 1) xor false)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     61.338,     59.84,     24.148,     35.692,     15,     15,     1.609,     2.379,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     11,     89.513,     87.499,     19.035,     68.464,     19,     19,     1.001,     3.603,     p1 = ((((System_On and (not In_Therapy)) and (System_On xor System_On)) => ((System_On and System_On) xor (System_On or (not In_Therapy)))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-ROR-3-1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     2,     617.892,     617.7,     3.829,     613.871,     5,     6,     0.765,     102.311,     p1 = ((((In_Therapy and In_Therapy) xor (System_On xor In_Therapy)) and Air_In_Line) => (out_Highest_Level_Alarm >= 1));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-ROR-3--1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     611.14,     611.012,     3.218,     607.794,     4,     5,     0.804,     121.558,     p1 = (((((not In_Therapy) or (not In_Therapy)) or ((not In_Therapy) => (not In_Therapy))) and Air_In_Line) => (out_Highest_Level_Alarm <= 255));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-LOR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     98.416,     96.933,     23.872,     73.061,     15,     15,     1.591,     4.87,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-LOR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     70.288,     68.685,     28.69,     39.995,     15,     15,     1.912,     2.666,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-4-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     2,     727.04,     721.083,     47.241,     673.842,     22,     23,     2.147,     29.297,     p1 = (((System_On and System_On) or ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0))));,     
