gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-2-LOR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     56.23,     55.002,     14.284,     40.718,     10,     10,     1.428,     4.071,     p1 = (((((Volume_Infused < 1) => (VTBI_High <= 23)) or ((VTBI_High < 24) xor (VTBI_High <= Volume_Infused))) xor ((false xor (Volume_Infused < 251)) => ((VTBI_High > 1) and (Volume_Infused < 1)))) => (out_Highest_Level_Alarm >= 0));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-5-ROR-1-0,     true,    3,    MUTANT_TIME_OUT,     4,     3606.483,     3559.375,     2929.666,     629.709,     66,     67,     44.388,     9.398,     p1 = ((((System_On and In_Therapy) and ((Volume_Infused <= VTBI_High) => Reservoir_Empty)) and (((Volume_Infused <= VTBI_High) or System_On) or ((not System_On) xor Reservoir_Empty))) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-0-LOR-0-4,     true,    4,    MINIMAL_FORALL_UNKNOWN,     1,     1249.959,     1222.951,     547.228,     675.723,     27,     28,     20.267,     24.132,     p1 = (((out_Highest_Level_Alarm >= 0) or (out_Highest_Level_Alarm > 0)) or (((not (Volume_Infused = 0)) => ((VTBI_High <= out_Highest_Level_Alarm) and (VTBI_High >= 1))) => (((out_Highest_Level_Alarm <= 0) => (VTBI_High <= 0)) and (not (Volume_Infused < 0)))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-2-LOR-5-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     414.772,     389.124,     271.686,     117.438,     44,     44,     6.174,     2.669,     p1 = (true => (out_Highest_Level_Alarm < 5));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-1-ROR-4-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     65.618,     64.888,     13.629,     51.259,     15,     15,     0.908,     3.417,     p1 = (((((In_Therapy and System_On) or (In_Therapy and System_On)) and Reservoir_Empty) and (Volume_Infused >= 0)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-4-3-ROR-5-7,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     1037.668,     1034.435,     54.455,     979.98,     48,     48,     1.134,     20.416,     p1 = ((((System_On and In_Therapy) and Reservoir_Empty) and (Volume_Infused >= 0)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-ROR-4-2-ROR-5-4,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     2,     187.45,     184.987,     41.643,     143.344,     44,     45,     0.946,     3.185,     p1 = ((((System_On and In_Therapy) and Reservoir_Empty) and (Volume_Infused = VTBI_High)) => (out_Highest_Level_Alarm >= 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-1-LOR-0-4,     true,    4,    MUTANT_TIME_OUT,     2,     3813.084,     3776.342,     3702.586,     73.756,     33,     34,     112.199,     2.169,     p1 = (((((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)))) and ((((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm >= 0) and (out_Highest_Level_Alarm >= 0)))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-1-ROR-0-6,     true,    4,    MINIMAL_EXISTS_UKNOWN,     2,     3982.748,     3952.45,     3711.2,     241.25,     33,     33,     112.46,     7.31,     p1 = (((((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 5)) and ((Volume_Infused = VTBI_High) => (Volume_Infused = VTBI_High))) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 5))) and ((((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 5)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 5))) and (((Volume_Infused = VTBI_High) => (Volume_Infused = VTBI_High)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm < 5)))));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-1-3-LOR-5-7,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     608.358,     608.214,     2.522,     605.692,     3,     4,     0.84,     151.423,     p1 = (true => (out_Highest_Level_Alarm >= 0));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-0-10-ROR-0-5,     true,    4,    MUTANT_TIME_OUT,     2,     3877.499,     3832.086,     3755.791,     76.295,     38,     39,     98.836,     1.956,     p1 = (((((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm < 5)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm <= 4))) and (((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)))) and ((((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4))) and (((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)))));,     
