gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-0-ROR-0--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     966.688,     958.875,     94.368,     864.507,     26,     27,     3.629,     32.018,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     42.679,     42.16,     10.198,     31.962,     10,     10,     1.019,     3.196,     p1 = ((((not Door_Open) xor (not Door_Open)) => (Door_Open xor System_On)) => (out_Highest_Level_Alarm < 5));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-0-ROR-0--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     963.857,     956.866,     99.897,     856.969,     26,     27,     3.842,     31.739,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-ROR-0--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1223.082,     1212.09,     214.856,     997.234,     30,     31,     7.161,     32.168,     p1 = ((((out_Highest_Level_Alarm >= 4) and (not System_On)) or ((out_Highest_Level_Alarm = 0) => System_On)) xor ((false xor (out_Highest_Level_Alarm > 0)) => (not (out_Highest_Level_Alarm <= 4))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-LOR-0-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1026.864,     1011.285,     176.876,     834.409,     37,     38,     4.78,     21.958,     p1 = ((((out_Highest_Level_Alarm > 4) xor (out_Highest_Level_Alarm > 0)) xor ((out_Highest_Level_Alarm <= 1) and (out_Highest_Level_Alarm >= 12))) xor (((not System_On) and (out_Highest_Level_Alarm = 0)) and ((out_Highest_Level_Alarm >= 2) xor (not System_On))));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1--1-LOR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     310.125,     309.925,     6.249,     303.676,     7,     7,     0.892,     43.382,     p1 = ((((not System_On) xor (not System_On)) => ((not Door_Open) xor (not Door_Open))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-1-1-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     45.505,     45.103,     10.339,     34.764,     10,     10,     1.033,     3.476,     p1 = ((((not Door_Open) xor (not Door_Open)) => (Door_Open xor System_On)) => (out_Highest_Level_Alarm < 5));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0--1-ROR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     993.377,     986.333,     111.419,     874.914,     26,     27,     4.285,     32.404,     p1 = ((((out_Highest_Level_Alarm > 4) or System_On) or ((not Door_Open) xor (not Door_Open))) xor ((System_On xor (out_Highest_Level_Alarm < 0)) => ((out_Highest_Level_Alarm >= 5) xor (out_Highest_Level_Alarm = 0))));,     
gpca,     p5,     Faulty_GPCA_Prop5-ROR-1--1-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     6,     70.877,     70.563,     9.574,     60.989,     11,     11,     0.87,     5.544,     p1 = ((((not Door_Open) xor (not Door_Open)) => (Door_Open xor Door_Open)) => (out_Highest_Level_Alarm < 5));,     
gpca,     p5,     Faulty_GPCA_Prop5-LOR-0-1-ROR-0--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1090.464,     1080.783,     154.743,     926.04,     30,     31,     5.158,     29.872,     p1 = ((((out_Highest_Level_Alarm >= 4) and (not System_On)) or ((out_Highest_Level_Alarm = 0) => System_On)) xor ((false xor (out_Highest_Level_Alarm > 0)) => (not (out_Highest_Level_Alarm <= 4))));,     
gpca,     p5,     Faulty_GPCA_Prop5-ROR-1--1-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     6,     68.12,     67.778,     9.181,     58.597,     11,     11,     0.834,     5.327,     p1 = ((((not Door_Open) xor (not Door_Open)) => (Door_Open xor Door_Open)) => (out_Highest_Level_Alarm < 5));,     
