gpca,     p6,     Faulty_GPCA_Prop6-LOR-0-6-ROR-0-4,     true,    4,    MINIMAL_EXISTS_UKNOWN,     1,     2636.202,     2618.236,     2349.01,     269.226,     22,     22,     106.773,     12.237,     p1 = true;,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-LOR-1-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     657.816,     656.952,     9.385,     647.567,     8,     9,     1.173,     71.951,     p1 = (false => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-ROR-5-16,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     1273.243,     1267.031,     43.165,     1223.866,     17,     18,     2.539,     67.992,     p1 = (((((out_Highest_Level_Alarm >= 2) xor (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm <= 4) xor (out_Highest_Level_Alarm <= 1))) and (((Disable_Audio > 2) or (Disable_Audio < out_Highest_Level_Alarm)) xor (not (out_Highest_Level_Alarm = Disable_Audio)))) => (true xor ((out_Is_Audio_Disabled > 1) => (out_Is_Audio_Disabled > 0))));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-2-4-ROR-4-6,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     605.325,     605.253,     1.609,     603.644,     2,     3,     0.804,     201.214,     p1 = (((((not System_On) and (out_Highest_Level_Alarm > 4)) => (System_On and (out_Highest_Level_Alarm > 4))) and false) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-2--1-ROR-5-18,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     610.181,     609.973,     3.42,     606.553,     3,     4,     1.14,     151.638,     p1 = ((((System_On xor System_On) and ((not System_On) => (out_Highest_Level_Alarm > 4))) and (Disable_Audio = 0)) => (((out_Audio_Notification_Command > 0) => (out_Audio_Notification_Command > 0)) => (not (out_Audio_Notification_Command > 1))));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-4-ROR-1-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     647.176,     645.826,     14.354,     631.472,     10,     11,     1.435,     57.406,     p1 = (false => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-0-ROR-5-2,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     760.021,     757.327,     17.573,     739.754,     11,     12,     1.597,     61.646,     p1 = (((((out_Highest_Level_Alarm < 0) and (out_Highest_Level_Alarm > 3)) or ((out_Highest_Level_Alarm = Disable_Audio) => (out_Highest_Level_Alarm <= 0))) and (not (not (Disable_Audio < 0)))) => true);,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-1-1-ROR-1--1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     1,     625.651,     625.103,     5.84,     619.263,     8,     9,     0.73,     68.807,     p1 = ((((out_Highest_Level_Alarm = Disable_Audio) and (Disable_Audio = 0)) and (not (Disable_Audio <= out_Highest_Level_Alarm))) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-0-1-LOR-0-8,     true,    4,    MINIMAL_FORALL_UNKNOWN,     1,     2014.958,     2004.387,     1149.472,     854.915,     17,     18,     67.616,     47.495,     p1 = true;,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-1-14-ROR-5-18,     true,    2,    MINIMAL_FORALL_UNKNOWN,     1,     652.545,     649.338,     16.647,     632.691,     13,     14,     1.28,     45.192,     p1 = (false => (((out_Audio_Notification_Command <= 0) => (Audio_Level >= 0)) => ((out_Is_Audio_Disabled < 31) xor false)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-2-1-ROR-6-11,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     640.217,     639.606,     12.387,     627.219,     8,     9,     1.548,     69.691,     p1 = ((((out_Highest_Level_Alarm < 1) xor (out_Highest_Level_Alarm < 1)) and (Disable_Audio = 0)) => (false and (out_Is_Audio_Disabled = 0)));,     
