gpca,     p8,     Faulty_GPCA_Prop8-LOR-0-7-ROR-0--1,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     2,     568.126,     556.501,     468.043,     88.458,     36,     37,     13.001,     2.39,     p1 = ((((Low_Reservoir = Reservoir_Volume) and (out_Highest_Level_Alarm < 1)) or ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm <= 5))) and (((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm <= 4)) and ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm <= 4))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0--1-LOR-0-2,     true,    3,    MINIMAL_MAX_LOOP_REACHED,     8,     2001.412,     1972.04,     1371.57,     600.47,     61,     62,     22.484,     9.685,     p1 = (false xor (((not System_On) xor (not System_On)) xor ((out_Highest_Level_Alarm > 4) => (out_Highest_Level_Alarm < 3))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0-1-ROR-0-0,     true,    3,    MUTANT_TIME_OUT,     3,     3615.9,     3596.706,     3301.512,     295.194,     44,     45,     75.034,     6.559,     p1 = (((not (out_Highest_Level_Alarm = 4)) or (In_Therapy or (Low_Reservoir = Reservoir_Volume))) => ((System_On => (out_Highest_Level_Alarm = 0)) xor ((not System_On) xor (out_Highest_Level_Alarm <= 4))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0-0-LOR-0-3,     true,    3,    MINIMAL_EXISTS_UKNOWN,     6,     3037.824,     3000.834,     2478.2,     522.634,     56,     56,     44.253,     9.332,     p1 = ((((out_Highest_Level_Alarm = 0) and (not System_On)) xor ((Reservoir_Volume <= Low_Reservoir) xor (out_Highest_Level_Alarm > 0))) xor (((out_Highest_Level_Alarm < 0) and (out_Highest_Level_Alarm = Reservoir_Volume)) xor ((out_Highest_Level_Alarm <= 4) xor (Low_Reservoir < Reservoir_Volume))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0--1-ROR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1328.234,     1316.233,     519.861,     796.372,     32,     33,     16.245,     24.132,     p1 = (((System_On => System_On) xor (System_On => (not System_On))) => (((not System_On) => (not System_On)) xor (System_On => (out_Highest_Level_Alarm < 1))));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1-0-ROR-4-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     128.335,     126.477,     18.562,     107.915,     13,     13,     1.427,     8.301,     p1 = (((((not System_On) xor false) xor ((Low_Reservoir = 3) and (Low_Reservoir <= 2))) or (((Low_Reservoir = Reservoir_Volume) xor (Reservoir_Volume <= 0)) => ((Reservoir_Volume <= Low_Reservoir) and System_On))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1-2-ROR-4-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     47.179,     45.94,     15.109,     30.831,     11,     11,     1.373,     2.802,     p1 = ((((false xor (Low_Reservoir = Reservoir_Volume)) xor (false xor (Low_Reservoir = Reservoir_Volume))) => (false xor ((Low_Reservoir = Reservoir_Volume) xor (Low_Reservoir = Reservoir_Volume)))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0-0-ROR-0-0,     true,    3,    MUTANT_TIME_OUT,     4,     3625.846,     3605.755,     3403.44,     202.315,     41,     42,     83.01,     4.817,     p1 = (((false xor (out_Highest_Level_Alarm >= 1)) and ((out_Highest_Level_Alarm <= Low_Reservoir) xor (not System_On))) xor (((out_Highest_Level_Alarm > 4) xor (Low_Reservoir < out_Highest_Level_Alarm)) xor (false xor (not System_On))));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1-4-ROR-4-7,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     636.552,     635.274,     12.296,     622.978,     10,     11,     1.229,     56.634,     p1 = ((((Reservoir_Volume < Low_Reservoir) => (Low_Reservoir > 0)) xor true) => false);,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-0-0-LOR-0-2,     true,    3,    MINIMAL_FORALL_UNKNOWN,     2,     831.116,     828.13,     36.055,     792.075,     17,     18,     2.12,     44.004,     p1 = ((((out_Highest_Level_Alarm < 1) and (not In_Therapy)) xor false) => (((out_Highest_Level_Alarm < 10) => System_On) xor true));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-1--1-ROR-4-5,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     97.092,     94.121,     32.171,     61.95,     16,     16,     2.01,     3.871,     p1 = (((((Reservoir_Volume = 20) => (Low_Reservoir > 2)) => ((Reservoir_Volume < 254) or (Low_Reservoir >= 1))) xor (((Low_Reservoir >= 1) or (Low_Reservoir < 0)) xor ((Reservoir_Volume <= 1) or (Reservoir_Volume = 2)))) => (out_Highest_Level_Alarm >= 0));,     
