infusion,     p13,     Faulty_Prop13-ROR-0-3-ROR-0-4,     true,    3,    MUTANT_TIME_OUT,     7,     3870.558,     3847.497,     3742.409,     105.088,     50,     51,     74.848,     2.06,     p1 = ((((Current_System_Mode > 8) or (not System_On)) xor ((Current_System_Mode > 0) or (Current_System_Mode < Commanded_Flow_Rate))) and (((Current_System_Mode < Commanded_Flow_Rate) xor (Current_System_Mode < Commanded_Flow_Rate)) xor ((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0))));,     
infusion,     p13,     Faulty_Prop13-ROR-2-5-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     256,     591.084,     585.478,     216.12,     369.358,     262,     262,     0.824,     1.409,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate > 255));,     
infusion,     p13,     Faulty_Prop13-LOR-1--1-ROR-1-2,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     88.827,     87.685,     52.071,     35.614,     21,     21,     2.479,     1.695,     p1 = ((((Current_System_Mode <= 1) xor (Current_System_Mode <= 4)) xor ((Current_System_Mode < 7) xor (Current_System_Mode > 8))) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-LOR-0-4-ROR-0-5,     true,    3,    MINIMAL_EXISTS_UKNOWN,     7,     2715.603,     2698.693,     2623.56,     75.133,     48,     48,     54.657,     1.565,     p1 = ((((Commanded_Flow_Rate < 0) xor (Current_System_Mode <= 8)) and ((not System_On) xor (Current_System_Mode > 0))) and ((System_On or (Commanded_Flow_Rate < 0)) or ((Current_System_Mode < Commanded_Flow_Rate) xor (not System_On))));,     
infusion,     p13,     Faulty_Prop13-LOR-1--1-ROR-1-0,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     39.404,     38.946,     17.246,     21.7,     15,     15,     1.149,     1.446,     p1 = (((System_On => (Current_System_Mode = 5)) or ((Current_System_Mode >= 2) xor (Current_System_Mode <= 8))) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-LOR-1--1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     70.189,     68.451,     34.093,     34.358,     23,     23,     1.482,     1.493,     p1 = ((((Current_System_Mode >= 1) xor (not System_On)) => ((Current_System_Mode <= 8) => (Current_System_Mode = 5))) => false);,     
infusion,     p13,     Faulty_Prop13-LOR-0-0-LOR-0-2,     true,    3,    MUTANT_TIME_OUT,     7,     3851.467,     3831.47,     3751.596,     79.874,     51,     52,     73.56,     1.536,     p1 = ((((Commanded_Flow_Rate < Current_System_Mode) and (Commanded_Flow_Rate > 8)) xor ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2))) and (((Commanded_Flow_Rate < 2) and (Current_System_Mode <= Commanded_Flow_Rate)) xor ((Current_System_Mode >= 0) => System_On)));,     
infusion,     p13,     Faulty_Prop13-LOR-1-1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     152.284,     148.126,     90.808,     57.318,     33,     33,     2.751,     1.736,     p1 = ((((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) => ((Current_System_Mode > 0) xor System_On)) => false);,     
infusion,     p13,     Faulty_Prop13-LOR-0-4-ROR-0-7,     true,    3,    MINIMAL_EXISTS_UKNOWN,     7,     2826.459,     2807.736,     2729.372,     78.364,     48,     48,     56.861,     1.632,     p1 = ((((Commanded_Flow_Rate < 0) xor (Current_System_Mode <= 8)) and ((not System_On) xor (Current_System_Mode > 0))) and ((System_On or (Commanded_Flow_Rate < 0)) or ((Current_System_Mode < Commanded_Flow_Rate) xor (not System_On))));,     
infusion,     p13,     Faulty_Prop13-ROR-2-0-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     256,     600.708,     595.164,     219.905,     375.259,     262,     262,     0.839,     1.432,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate > 255));,     
infusion,     p13,     Faulty_Prop13-LOR-1-0-ROR-1-3,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     44.642,     44.054,     20.462,     23.592,     15,     15,     1.364,     1.572,     p1 = (((System_On => (Current_System_Mode = 5)) or ((Current_System_Mode >= 2) xor (Current_System_Mode <= 8))) => (Commanded_Flow_Rate = 0));,     
