infusion,     p14,     Faulty_Prop14-ROR-5-8-ROR-6-9,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     19.182,     18.877,     6.479,     12.398,     10,     10,     0.647,     1.239,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode < 2)) or (Current_System_Mode > 4))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-6-9-ROR-7-13,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     24.194,     23.931,     8.37,     15.561,     12,     12,     0.697,     1.296,     p1 = ((System_On and (((Current_System_Mode = 6) or (Current_System_Mode = 7)) or (Current_System_Mode >= 5))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-3-3-ROR-3-8,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     27.77,     27.49,     13.775,     13.715,     11,     11,     1.252,     1.246,     p1 = ((System_On and (((false xor (Current_System_Mode >= 5)) xor ((Current_System_Mode < 2) and (Current_System_Mode < 2))) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-1-1-ROR-7-14,     true,    0,    MINIMAL_EXISTS_UKNOWN,     6,     697.1,     692.745,     661.118,     31.627,     26,     26,     25.427,     1.216,     p1 = (((((not System_On) xor (not System_On)) xor ((Current_System_Mode <= 7) xor (Current_System_Mode = 8))) => ((System_On xor (Current_System_Mode >= 1)) xor ((Current_System_Mode = 5) and System_On))) => false);,     
infusion,     p14,     Faulty_Prop14-LOR-1-7-ROR-7-5,     true,    0,    MINIMAL_EXISTS_UKNOWN,     5,     758.106,     751.8,     717.563,     34.237,     29,     29,     24.743,     1.18,     p1 = (((((not System_On) xor (Current_System_Mode <= 0)) xor (System_On and (Current_System_Mode > 8))) xor ((false xor (Current_System_Mode = 5)) and (false xor System_On))) => false);,     
infusion,     p14,     Faulty_Prop14-LOR-2-4-ROR-7-15,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     261.122,     259.763,     239.968,     19.795,     16,     16,     14.998,     1.237,     p1 = ((System_On and (((false xor (Current_System_Mode >= 5)) and ((Current_System_Mode < 3) xor (Current_System_Mode >= 0))) xor ((false xor (Current_System_Mode = 6)) xor ((Current_System_Mode < 1) and (Current_System_Mode < 3))))) => (Commanded_Flow_Rate = Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-0-7-ROR-0-5,     true,    4,    MUTANT_TIME_OUT,     4,     3634.842,     3614.654,     3579.356,     35.298,     30,     31,     119.311,     1.138,     p1 = ((((false xor (Current_System_Mode = 0)) xor ((not System_On) => System_On)) and ((false xor (Commanded_Flow_Rate <= 0)) or (not (not System_On)))) or ((false xor ((Flow_Rate_KVO < 0) xor false)) and ((not (Commanded_Flow_Rate < Current_System_Mode)) xor ((Commanded_Flow_Rate = 8) xor (Commanded_Flow_Rate >= 6)))));,     
infusion,     p14,     Faulty_Prop14-ROR-4-15-ROR-7-14,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     11.719,     11.606,     3.72,     7.886,     7,     7,     0.531,     1.126,     p1 = ((System_On and (((Current_System_Mode > 8) or (Current_System_Mode = 7)) or (Current_System_Mode = 8))) => (Commanded_Flow_Rate = Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-0-8-ROR-0-1,     true,    4,    MUTANT_TIME_OUT,     2,     3740.247,     3717.139,     3680.961,     36.178,     31,     32,     118.74,     1.13,     p1 = ((false xor (((Commanded_Flow_Rate > 1) => (Commanded_Flow_Rate < Current_System_Mode)) or ((Commanded_Flow_Rate <= 1) xor false))) xor (((System_On xor (Commanded_Flow_Rate < Current_System_Mode)) xor (false xor (Flow_Rate_KVO < 0))) xor (false xor ((Flow_Rate_KVO < 0) xor false))));,     
infusion,     p14,     Faulty_Prop14-ROR-4--1-ROR-6-12,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     20.366,     20.209,     7.459,     12.75,     10,     10,     0.745,     1.275,     p1 = ((System_On and (((Current_System_Mode >= 5) or (Current_System_Mode = 7)) or (Current_System_Mode <= 1))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1-7-ROR-7-5,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     37.01,     35.762,     18.445,     17.317,     13,     13,     1.418,     1.332,     p1 = ((false xor (((Current_System_Mode < 2) or (Current_System_Mode = 0)) xor ((Current_System_Mode = 3) xor (Current_System_Mode < 6)))) => (Commanded_Flow_Rate >= 0));,     
infusion,     p14,     Faulty_Prop14-ROR-3-7-ROR-6-9,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     24.251,     23.957,     10.78,     13.177,     10,     10,     1.078,     1.317,     p1 = ((System_On and ((((Current_System_Mode < 2) and (Current_System_Mode >= 2)) xor (false xor (Current_System_Mode >= 5))) or (Current_System_Mode < 2))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-3-4-ROR-6-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     16.036,     15.829,     7.235,     8.594,     6,     6,     1.205,     1.432,     p1 = ((System_On and ((not ((Current_System_Mode >= 2) xor false)) or (Current_System_Mode >= 5))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-1-7-ROR-1-9,     true,    3,    TRUE_FOR_MAX_STEPS,     5,     128.885,     127.973,     112.405,     15.568,     13,     13,     8.646,     1.197,     p1 = ((((Current_System_Mode <= 1) xor (Current_System_Mode <= 4)) => ((Current_System_Mode >= 6) xor (not System_On))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-6-ROR-7-16,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     220.639,     219.428,     200.23,     19.198,     16,     16,     12.514,     1.199,     p1 = ((System_On and ((((Current_System_Mode = 5) and (Current_System_Mode >= 4)) xor ((Current_System_Mode >= 2) and (Current_System_Mode >= 7))) xor (((Current_System_Mode < 8) xor (Current_System_Mode = 7)) xor ((Current_System_Mode < 1) xor (Current_System_Mode < 7))))) => (Commanded_Flow_Rate = Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1-4-ROR-1-3,     true,    3,    TRUE_FOR_MAX_STEPS,     4,     164.746,     163.609,     143.99,     19.619,     16,     16,     8.999,     1.226,     p1 = (((((Current_System_Mode <= 1) xor (Current_System_Mode >= 5)) or ((Current_System_Mode >= 2) xor System_On)) or ((System_On => System_On) and (System_On and (Current_System_Mode = 0)))) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-ROR-2-4-ROR-2-12,     true,    3,    TRUE_FOR_MAX_STEPS,     5,     26.017,     25.558,     12.66,     12.898,     11,     11,     1.15,     1.172,     p1 = ((System_On and ((((Current_System_Mode >= 5) => (Current_System_Mode = 3)) xor ((Current_System_Mode >= 1) and (Current_System_Mode >= 2))) xor false)) => (Commanded_Flow_Rate <= Flow_Rate_KVO));,     
infusion,     p14,     Faulty_Prop14-LOR-1-6-ROR-7-13,     true,    0,    MINIMAL_EXISTS_UKNOWN,     5,     688.076,     683.939,     654.405,     29.534,     25,     25,     26.176,     1.181,     p1 = (((not ((Current_System_Mode > 0) xor System_On)) => (((Current_System_Mode = 6) xor (Current_System_Mode > 4)) xor false)) => (Commanded_Flow_Rate = Flow_Rate_KVO));,     
