infusion,     p1,     Faulty_Prop1-LOR-0-15-ROR-0-26,     true,    4,    MINIMAL_EXISTS_UKNOWN,     3,     668.076,     662.309,     635.799,     26.51,     13,     13,     48.907,     2.039,     p1 = (((((Current_System_Mode >= 8) xor (Current_System_Mode >= 8)) xor ((Current_System_Mode = 6) xor (Current_System_Mode >= 0))) and (false xor ((Current_System_Mode < 8) xor (Current_System_Mode = 8)))) xor (((false xor (Current_System_Mode = 4)) xor ((Current_System_Mode >= 4) and (Current_System_Mode >= 4))) and (((Current_System_Mode = 6) xor (Current_System_Mode < 6)) xor (false xor (Current_System_Mode < 0)))));,     
infusion,     p1,     Faulty_Prop1-LOR-2-0-ROR-13-7,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     719.132,     711.34,     665.025,     46.315,     11,     11,     60.456,     4.21,     p1 = (((((((Current_System_Mode < 8) => (Current_System_Mode < 0)) xor (false xor (Current_System_Mode >= 6))) xor ((false xor (Current_System_Mode < 0)) xor (false xor (Current_System_Mode < 5)))) and (((false xor (Current_System_Mode < 5)) xor ((Current_System_Mode <= 2) or (Current_System_Mode <= 8))) xor (not ((Current_System_Mode <= 5) => (Current_System_Mode < 0))))) or false) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-ROR-2-5-ROR-14-16,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     555.809,     553.18,     534.558,     18.622,     10,     10,     53.455,     1.862,     p1 = (((not ((((Current_System_Mode = 8) xor (Current_System_Mode < 5)) xor ((Current_System_Mode >= 0) xor (Current_System_Mode >= 3))) xor (((Current_System_Mode = 6) => (Current_System_Mode = 8)) and ((Current_System_Mode >= 3) and (Current_System_Mode >= 1))))) or (Current_System_Mode = 7)) or (Current_System_Mode = 0));,     
infusion,     p1,     Faulty_Prop1-LOR-4-7-ROR-11-13,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     29.213,     28.786,     16.97,     11.816,     7,     7,     2.424,     1.688,     p1 = ((((((((Current_System_Mode <= 1) xor (Current_System_Mode = 4)) or ((Current_System_Mode < 6) and (Current_System_Mode <= 1))) and (((Current_System_Mode <= 2) xor (Current_System_Mode = 0)) => ((Current_System_Mode = 2) and (Current_System_Mode = 1)))) or (Current_System_Mode < 4)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-ROR-8-4-ROR-12-24,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     7.965,     7.883,     2.714,     5.169,     4,     4,     0.678,     1.292,     p1 = ((((((((Current_System_Mode = 0) or (Current_System_Mode = 1)) or (Current_System_Mode = 2)) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-1-0-ROR-14-22,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     672.305,     667.532,     645.692,     21.84,     14,     14,     46.12,     1.56,     p1 = ((((not ((Current_System_Mode = 8) xor (Current_System_Mode = 4))) => (((Current_System_Mode >= 0) xor (Current_System_Mode >= 4)) xor false)) xor (((not (Current_System_Mode >= 4)) => (not (Current_System_Mode >= 4))) => (((Current_System_Mode >= 8) => (Current_System_Mode = 7)) and (false xor (Current_System_Mode >= 7))))) or (Current_System_Mode = 6));,     
infusion,     p1,     Faulty_Prop1-LOR-1-5-ROR-14-6,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     657.84,     653.256,     633.402,     19.854,     13,     13,     48.723,     1.527,     p1 = ((((((Current_System_Mode >= 7) => (Current_System_Mode <= 3)) xor (false xor (Current_System_Mode = 6))) xor (((Current_System_Mode >= 8) xor (Current_System_Mode <= 4)) and ((Current_System_Mode >= 0) xor false))) => ((true xor (not (Current_System_Mode <= 6))) and ((false xor (Current_System_Mode = 3)) xor ((Current_System_Mode = 6) xor false)))) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-2-2-LOR-13-13,     true,    0,    MINIMAL_EXISTS_UKNOWN,     3,     651.583,     647.234,     626.804,     20.43,     13,     13,     48.215,     1.571,     p1 = (((((((Current_System_Mode >= 7) xor (Current_System_Mode >= 6)) xor false) xor (((Current_System_Mode <= 0) xor (Current_System_Mode <= 4)) xor false)) xor (((not (Current_System_Mode = 7)) xor true) and (((Current_System_Mode = 4) and (Current_System_Mode >= 3)) => ((Current_System_Mode = 0) xor (Current_System_Mode > 6))))) or (Current_System_Mode = 0)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-1-5-ROR-1-0,     true,    4,    MINIMAL_EXISTS_UKNOWN,     3,     646.129,     642.471,     621.151,     21.32,     12,     12,     51.762,     1.776,     p1 = ((((((Current_System_Mode = 0) and (Current_System_Mode < 0)) xor ((Current_System_Mode = 8) xor false)) xor false) xor ((((Current_System_Mode >= 8) xor (Current_System_Mode < 2)) xor ((Current_System_Mode = 5) xor (Current_System_Mode < 0))) xor (((Current_System_Mode >= 2) xor false) and ((Current_System_Mode < 8) or (Current_System_Mode > 2))))) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-LOR-5-3-ROR-5-2,     true,    3,    TRUE_FOR_MAX_STEPS,     2,     41.211,     40.848,     28.311,     12.537,     6,     6,     4.718,     2.089,     p1 = ((((((true xor (false xor ((Current_System_Mode >= 0) => (Current_System_Mode >= 3)))) or (Current_System_Mode = 3)) or (Current_System_Mode = 4)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8));,     
infusion,     p1,     Faulty_Prop1-ROR-0-5-ROR-0-14,     true,    4,    MINIMAL_EXISTS_UKNOWN,     3,     645.064,     642.325,     620.358,     21.967,     11,     11,     56.396,     1.997,     p1 = ((((false xor (Current_System_Mode <= 2)) xor (false xor (Current_System_Mode = 0))) xor (false xor ((Current_System_Mode <= 2) xor (Current_System_Mode > 8)))) xor ((((Current_System_Mode >= 2) xor (Current_System_Mode >= 1)) xor (Current_System_Mode >= 2)) and ((false xor (Current_System_Mode >= 6)) xor (false xor (Current_System_Mode <= 4)))));,     
