infusion,     p7,     Faulty_Prop7-ROR-0-3-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     190.849,     188.767,     142.602,     46.165,     24,     24,     5.941,     1.923,     p1 = (((Commanded_Flow_Rate >= 1) => (Current_System_Mode >= 2)) and ((Current_System_Mode >= 0) and (Current_System_Mode <= 8)));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     1120.35,     1112.272,     1000.813,     111.459,     38,     38,     26.337,     2.933,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode >= 0) xor (Current_System_Mode > 8)));,     
infusion,     p7,     Faulty_Prop7-ROR-0-2-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     530.744,     527.393,     462.541,     64.852,     32,     32,     14.454,     2.026,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) xor ((Current_System_Mode < 2) and (Current_System_Mode < Commanded_Flow_Rate)));,     
infusion,     p7,     Faulty_Prop7-ROR-1-2-ROR-2-6,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     574.955,     569.159,     219.394,     349.765,     264,     264,     0.831,     1.324,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate > 255));,     
infusion,     p7,     Faulty_Prop7-ROR-0-1-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     369.062,     365.084,     298.721,     66.363,     38,     38,     7.861,     1.746,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode >= 0) xor (Current_System_Mode > 8)));,     
infusion,     p7,     Faulty_Prop7-ROR-1-3-ROR-2-6,     true,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     94.976,     93.412,     37.576,     55.836,     35,     36,     1.073,     1.551,     p1 = ((Current_System_Mode > 8) => (Commanded_Flow_Rate = 7));,     
infusion,     p7,     Faulty_Prop7-ROR-0-2-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     383.971,     381.252,     326.633,     54.619,     32,     32,     10.207,     1.706,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) xor ((Current_System_Mode < 2) and (Current_System_Mode < Commanded_Flow_Rate)));,     
infusion,     p7,     Faulty_Prop7-LOR-0-1-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     146.363,     145.011,     106.851,     38.16,     25,     25,     4.274,     1.526,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode >= 0) xor (Current_System_Mode > 8)));,     
infusion,     p7,     Faulty_Prop7-LOR-0-0-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     381.684,     378.958,     322.884,     56.074,     34,     34,     9.496,     1.649,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode <= 8) xor (Current_System_Mode < 0)));,     
infusion,     p7,     Faulty_Prop7-LOR-0--1-ROR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     451.185,     447.763,     385.539,     62.224,     36,     36,     10.709,     1.728,     p1 = (((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode > 1)) xor ((Current_System_Mode > 8) xor (Current_System_Mode = 5)));,     
infusion,     p7,     Faulty_Prop7-LOR-0-1-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     477.339,     473.954,     416.865,     57.089,     37,     37,     11.266,     1.542,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode > 8)) xor ((Current_System_Mode <= 1) => (Commanded_Flow_Rate <= Current_System_Mode)));,     
