infusion,     p9,     Faulty_Prop9-ROR-1-1-LOR-4-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     110.511,     107.816,     80.442,     27.374,     20,     20,     4.022,     1.368,     p1 = ((((not System_On) and (not System_On)) xor false) => ((not (not (Current_System_Mode = 0))) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-4-5-ROR-4-8,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     81.392,     81.166,     6.347,     74.819,     9,     9,     0.705,     8.313,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => ((((Current_System_Mode = 1) xor false) xor ((Current_System_Mode = 6) and (Current_System_Mode = 6))) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-2-9-ROR-3-10,     true,    3,    TRUE_FOR_MAX_STEPS,     6,     154.216,     152.45,     126.998,     25.452,     18,     18,     7.055,     1.414,     p1 = ((System_On and (Highest_Level_Alarm >= 1)) => ((((Current_System_Mode < 6) xor (Current_System_Mode < 8)) xor ((Current_System_Mode = 2) and (Current_System_Mode >= 1))) or (((Current_System_Mode = 8) xor (Current_System_Mode >= 1)) xor ((Current_System_Mode >= 7) xor (Current_System_Mode = 5)))));,     
infusion,     p9,     Faulty_Prop9-ROR-2-1-LOR-4-7,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     73.041,     72.322,     47.884,     24.438,     17,     17,     2.816,     1.437,     p1 = ((System_On and (Highest_Level_Alarm >= 1)) => ((((Current_System_Mode <= 8) and (Current_System_Mode > 0)) xor ((Current_System_Mode = 5) xor false)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-0-1-ROR-0-6,     true,    4,    MINIMAL_EXISTS_UKNOWN,     3,     3109.895,     3073.717,     3021.236,     52.481,     37,     37,     81.655,     1.418,     p1 = ((((false xor (Current_System_Mode = 0)) xor ((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm))) xor (((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm)) xor ((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm)))) xor ((((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm)) xor ((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm))) xor (((Current_System_Mode = Highest_Level_Alarm) xor (Current_System_Mode = Highest_Level_Alarm)) xor (System_On or System_On))));,     
infusion,     p9,     Faulty_Prop9-LOR-2-5-ROR-3-11,     true,    3,    TRUE_FOR_MAX_STEPS,     5,     41.694,     40.077,     17.042,     23.035,     15,     15,     1.136,     1.535,     p1 = ((System_On and (Highest_Level_Alarm >= 3)) => ((((Current_System_Mode = 8) xor false) xor (false xor (Current_System_Mode = 1))) or (((Current_System_Mode = 6) xor (Current_System_Mode = 7)) xor false)));,     
infusion,     p9,     Faulty_Prop9-LOR-2-5-ROR-3-17,     true,    3,    TRUE_FOR_MAX_STEPS,     5,     39.755,     38.269,     18.055,     20.214,     15,     15,     1.203,     1.347,     p1 = ((System_On and (Highest_Level_Alarm >= 3)) => ((((Current_System_Mode = 8) xor false) xor (false xor (Current_System_Mode = 1))) or (((Current_System_Mode = 6) xor (Current_System_Mode = 7)) xor false)));,     
infusion,     p9,     Faulty_Prop9-ROR-0--1-ROR-0-14,     true,    4,    MINIMAL_EXISTS_UKNOWN,     4,     2218.705,     2195.473,     2152.661,     42.812,     30,     30,     71.755,     1.427,     p1 = (false xor ((((Highest_Level_Alarm <= Current_System_Mode) and (Current_System_Mode = 7)) => ((Highest_Level_Alarm = 3) and (Current_System_Mode >= 1))) and (((Current_System_Mode >= 1) xor false) xor ((not System_On) xor (Current_System_Mode < 0)))));,     
infusion,     p9,     Faulty_Prop9-LOR-1-0-ROR-1-2,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     74.57,     74.059,     19.308,     54.751,     14,     14,     1.379,     3.91,     p1 = (((System_On xor (Highest_Level_Alarm > 4)) and ((Highest_Level_Alarm > 2) and System_On)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-1-0-ROR-3--1,     true,    3,    MINIMAL_EXISTS_UKNOWN,     5,     730.136,     719.516,     678.605,     40.911,     28,     28,     24.235,     1.461,     p1 = (((System_On and System_On) and (System_On or (Highest_Level_Alarm < 1))) => (((false xor (Current_System_Mode < 6)) xor (false xor (Current_System_Mode >= 5))) and (((Current_System_Mode <= 0) or (Current_System_Mode <= 8)) and (false xor (Current_System_Mode >= 1)))));,     
infusion,     p9,     Faulty_Prop9-ROR-4-4-ROR-4-12,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     82.842,     82.639,     6.441,     76.198,     9,     9,     0.715,     8.466,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => ((((Current_System_Mode = 1) xor false) xor ((Current_System_Mode = 6) and (Current_System_Mode = 6))) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-0-0-LOR-0-5,     true,    4,    MINIMAL_EXISTS_UKNOWN,     4,     2974.497,     2944.061,     2896.145,     47.916,     34,     34,     85.18,     1.409,     p1 = ((((false xor System_On) => ((not System_On) xor (Current_System_Mode <= 0))) xor ((false xor System_On) and ((not System_On) xor (not System_On)))) => (((System_On => (Current_System_Mode = Highest_Level_Alarm)) and ((Current_System_Mode = 0) xor (Current_System_Mode = Highest_Level_Alarm))) xor (((Current_System_Mode = Highest_Level_Alarm) and (not System_On)) xor false)));,     
