wbs,     p1,     Prop1-ROR-3-0-ROR-6-15,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     69.071,     68.131,     55.631,     12.5,     26,     26,     2.139,     0.48,     p1 = ((((pedal_r <= 2) and (pedal_r <= 4)) and (not skid_r)) => (((AltPressure_r < NormalPressure_r) or (AltPressure_r = NormalPressure_r)) and ((NormalPressure_r < 4) and (AltPressure_r = 0))));,     
wbs,     p1,     Prop1-ROR-2--1-ROR-7-13,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     9.849,     9.762,     4.931,     4.831,     10,     10,     0.493,     0.483,     p1 = (((((pedal_r >= 4) and ((pedal_r <= -3) and (-3 = (-1)))) => (((pedal_r >= 6) and (6 = (-1))) and (pedal_r < 5))) and (not skid_r)) => ((AltPressure_r = 0) or (NormalPressure_r > 0)));,     
wbs,     p1,     Prop1-ROR-1-6-ROR-6-18,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     162.813,     152.493,     135.792,     16.701,     34,     34,     3.993,     0.491,     p1 = ((((((pedal_r >= -2) and (-2 = (-1))) xor ((pedal_r >= -2) and (-2 = (-1)))) xor (((pedal_r >= -2) and (-2 = (-1))) xor ((pedal_r >= -2) and (-2 = (-1))))) => ((((pedal_r >= 6) and (6 = (-1))) xor skid_r) and (((pedal_r >= 6) and (6 = (-1))) xor (not skid_r)))) => (((NormalPressure_r > -1) xor (NormalPressure_r = 4)) and ((AltPressure_r = 0) and (NormalPressure_r < 6))));,     
wbs,     p1,     Prop1-LOR-0-5-ROR-0-16,     true,    4,    MINIMAL_EXISTS_UKNOWN,     3,     3648.565,     3627.044,     3610.039,     17.005,     34,     34,     106.177,     0.5,     p1 = (((((AltPressure_r < 8) xor (NormalPressure_r = -2)) and ((AltPressure_r = 0) and (NormalPressure_r < 6))) and (((AltPressure_r <= NormalPressure_r) and (AltPressure_r = 0)) and ((AltPressure_r = 0) and (AltPressure_r <= NormalPressure_r)))) and ((((AltPressure_r = 0) and (AltPressure_r = 0)) or (((pedal_r = -1) and (-1 = (-1))) and (not skid_r))) xor (((AltPressure_r = 0) and (AltPressure_r = 0)) => ((AltPressure_r = 0) xor (AltPressure_r = 0)))));,     
wbs,     p1,     Prop1-ROR-2-6-ROR-8-17,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     55.944,     53.718,     33.71,     20.008,     32,     32,     1.053,     0.625,     p1 = (((((pedal_r < 5) xor ((pedal_r <= -1) and (-1 = (-1)))) or ((pedal_r = 1) => ((pedal_r > -2) and (-2 = (-1))))) and (not skid_r)) => ((AltPressure_r > 0) or (NormalPressure_r <= 5)));,     
wbs,     p1,     Prop1-ROR-1--1-ROR-8-14,     true,    0,    TRUE_FOR_MAX_STEPS,     5,     43.219,     40.188,     26.314,     13.874,     22,     22,     1.196,     0.63,     p1 = ((((((pedal_r <= -3) and (-3 = (-1))) => ((pedal_r >= -2) and (-2 = (-1)))) or ((pedal_r > 3) xor skid_r)) and ((((pedal_r > 6) and (6 = (-1))) => ((pedal_r >= 7) and (7 = (-1)))) and (((pedal_r >= -2) and (-2 = (-1))) => ((pedal_r >= 7) and (7 = (-1)))))) => ((AltPressure_r > 0) or (NormalPressure_r < 6)));,     
wbs,     p1,     Prop1-LOR-1-10-ROR-6-8,     true,    2,    TRUE_FOR_MAX_STEPS,     10,     648.137,     616.753,     581.063,     35.69,     51,     51,     11.393,     0.699,     p1 = ((((((pedal_r < -1) and (-1 = (-1))) and ((pedal_r >= -3) and (-3 = (-1)))) xor ((not skid_r) xor ((pedal_r >= 7) and (7 = (-1))))) or (((pedal_r <= 4) xor (pedal_r = 0)) or ((not skid_r) xor (pedal_r >= 0)))) => (((NormalPressure_r < 4) xor (NormalPressure_r = 5)) and ((AltPressure_r = 0) and (AltPressure_r <= NormalPressure_r))));,     
wbs,     p1,     Prop1-ROR-2-0-ROR-5-8,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     57.664,     57.369,     48.899,     8.47,     15,     15,     3.259,     0.564,     p1 = ((((((pedal_r >= -3) and (-3 = (-1))) xor (pedal_r >= 5)) xor ((pedal_r = 1) xor (pedal_r >= 2))) and (not skid_r)) => ((AltPressure_r > 0) or (NormalPressure_r > 0)));,     
wbs,     p1,     Prop1-ROR-4-6-ROR-7-9,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     7.244,     7.23,     3.515,     3.715,     6,     6,     0.585,     0.619,     p1 = ((((pedal_r > 0) and (pedal_r >= 0)) and (not skid_r)) => ((AltPressure_r = 0) or (NormalPressure_r > 0)));,     
wbs,     p1,     Prop1-LOR-5-10-ROR-6-12,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     38.131,     37.223,     23.258,     13.965,     24,     24,     0.969,     0.581,     p1 = ((((pedal_r > 0) and (pedal_r <= 4)) and skid_r) => (((AltPressure_r = 0) and (NormalPressure_r = 0)) xor ((AltPressure_r <= -2) and (AltPressure_r > 0))));,     
wbs,     p1,     Prop1-ROR-1-0-ROR-6-15,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     290.058,     272.493,     246.962,     25.531,     39,     39,     6.332,     0.654,     p1 = ((((skid_r xor ((pedal_r > -1) and (-1 = (-1)))) xor ((not skid_r) xor (not skid_r))) xor (((pedal_r > 0) xor (pedal_r <= 0)) xor ((not skid_r) xor (pedal_r < 0)))) => (((AltPressure_r = 0) and (AltPressure_r <= NormalPressure_r)) and ((NormalPressure_r = 4) xor (NormalPressure_r < 6))));,     
